ZE2020,target_year,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
1,2014,18990.0,9720.0,20450.0,400.0,1030.0,360.0,5170.0,30430.0,5320.0,91870.0
2,2014,47780.0,18690.0,38100.0,1950.0,1930.0,1030.0,13300.0,47290.0,10110.0,180180.0
3,2014,78640.0,11210.0,35290.0,610.0,1530.0,790.0,9980.0,34050.0,7520.0,179620.0
4,2014,169160.0,39170.0,195720.0,12620.0,13210.0,4610.0,102570.0,169390.0,42670.0,749120.0
5,2014,3130.0,2380.0,6200.0,110.0,370.0,60.0,920.0,18660.0,1540.0,33370.0
6,2014,62360.0,21920.0,29200.0,310.0,1260.0,490.0,6070.0,35250.0,8530.0,165390.0
7,2014,6410.0,5240.0,15180.0,230.0,920.0,160.0,2800.0,59900.0,4090.0,94930.0
8,2014,3610.0,2230.0,8700.0,140.0,560.0,80.0,1450.0,36630.0,1780.0,55180.0
9,2014,9310.0,11950.0,74740.0,1240.0,2420.0,2880.0,18780.0,63300.0,12000.0,196620.0
10,2014,25770.0,8820.0,41030.0,1060.0,1700.0,680.0,8109.999999999999,59590.0,7390.0,154150.0
11,2014,50870.0,7560.0,35620.0,1810.0,1680.0,560.0,11950.0,45540.0,7380.0,162970.0
12,2014,27970.0,11940.0,43600.0,2270.0,2130.0,690.0,14400.0,70720.0,11700.0,185420.0
13,2014,32640.0,13210.0,32910.0,890.0,1740.0,610.0,10370.0,29670.0,5390.0,127430.0
14,2014,17700.0,10110.0,23930.0,360.0,1210.0,300.0,5910.0,38460.0,5670.0,103650.0
15,2014,5440.0,2640.0,8630.0,380.0,510.0,140.0,2940.0,16790.0,2470.0,39940.0
16,2014,15170.0,5740.0,20920.0,470.0,960.0,350.0,4540.0,31510.0,5500.0,85160.0
17,2014,13030.0,5540.0,18380.0,1120.0,1040.0,230.0,3620.0,39950.0,4500.0,87410.0
18,2014,101920.0,59070.0,363970.0,49170.0,46390.0,12530.0,247530.0,317410.0,102000.0,1299990.0
19,2014,4290.0,2580.0,9430.0,120.0,450.0,180.0,3260.0,16970.0,2510.0,39790.0
20,2014,5540.0,2610.0,9230.0,150.0,610.0,100.0,1840.0,27250.0,2460.0,49790.0
21,2014,15790.0,4560.0,24260.0,480.0,1230.0,280.0,6440.0,41860.0,4480.0,99380.0
22,2014,5160.0,1680.0,8830.0,90.0,550.0,130.0,1930.0,22970.0,3030.0,44370.0
23,2014,10120.0,3030.0,14030.0,550.0,920.0,230.0,3610.0,34660.0,4410.0,71560.0
24,2014,8130.000000000001,6460.0,23060.0,840.0,1230.0,260.0,5980.0,51620.0,9170.0,106750.0
25,2014,7140.0,6530.0,32120.0,880.0,1120.0,840.0,8100.0,52280.0,7120.0,116130.0
1,2015,19930.0,9580.0,20850.0,400.0,990.0,380.0,5040.0,29880.0,5230.0,92280.0
2,2015,49570.0,19400.0,39930.0,2200.0,1930.0,1110.0,15060.0,45680.0,10240.0,185120.0
3,2015,81450.0,11740.0,36590.0,690.0,1500.0,830.0,10710.0,34570.0,7550.0,185630.0
4,2015,174420.0,40240.0,201910.0,14130.0,12780.0,4760.0,106160.0,167690.0,42650.0,764740.0
5,2015,3260.0,2390.0,6100.0,90.0,370.0,70.0,1000.0,18040.0,1580.0,32900.0
6,2015,64860.0,23390.0,30340.0,320.0,1260.0,550.0,6650.0,34540.0,8410.0,170320.0
7,2015,6620.0,5160.0,15360.0,240.0,860.0,160.0,3110.0,56360.0,4060.0,91930.0
8,2015,3820.0,2050.0,8640.0,150.0,530.0,80.0,1490.0,35370.0,1780.0,53910.0
9,2015,9440.0,13020.0,78580.0,1220.0,2330.0,3060.0,19960.0,62650.0,12160.0,202420.0
10,2015,26140.0,8960.0,42000.0,1110.0,1610.0,710.0,8680.0,55570.0,7360.0,152140.0
11,2015,53340.0,7380.0,36700.0,1870.0,1630.0,570.0,14290.0,43470.0,7420.0,166670.0
12,2015,28580.0,11900.0,44400.0,2420.0,2120.0,710.0,14920.0,68460.0,11670.0,185180.0
13,2015,34270.0,12740.0,33970.0,990.0,1710.0,620.0,11000.0,28880.0,5480.0,129660.0
14,2015,18110.0,9900.0,24350.0,390.0,1190.0,310.0,6530.0,37950.0,5650.0,104380.0
15,2015,5580.0,2780.0,8570.0,610.0,500.0,130.0,2910.0,16370.0,2420.0,39870.0
16,2015,15520.0,5820.0,21220.0,590.0,930.0,330.0,4570.0,30020.0,5370.0,84370.0
17,2015,12880.0,5250.0,18820.0,1340.0,1010.0,220.0,3860.0,38380.0,4350.0,86110.0
18,2015,103410.0,58540.0,374830.0,51900.0,45700.0,13630.0,256600.0,315560.0,104200.0,1324370.0
19,2015,4370.0,2650.0,9600.0,120.0,420.0,180.0,3590.0,17140.0,2500.0,40570.0
20,2015,5620.0,2720.0,9280.0,160.0,560.0,110.0,2050.0,26550.0,2480.0,49530.0
21,2015,16309.999999999998,4910.0,25240.0,540.0,1130.0,290.0,6820.0,40990.0,4550.0,100780.0
22,2015,5420.0,1690.0,8880.0,100.0,500.0,140.0,2210.0,22650.0,2970.0,44560.0
23,2015,10180.0,3010.0,14490.0,700.0,860.0,220.0,4020.0,33840.0,4290.0,71610.0
24,2015,8440.0,6570.0,24510.0,830.0,1240.0,250.0,6350.0,55540.0,9860.0,113590.0
25,2015,7290.0,6470.0,33220.0,890.0,1090.0,820.0,8520.0,51260.0,7130.0,116690.0
1,2016,19820.0,10100.0,21980.0,420.0,940.0,440.0,5440.0,29810.0,5100.0,94050.0
2,2016,50490.0,20530.0,42150.0,2450.0,1830.0,1350.0,15590.0,45390.0,10150.0,189930.0
3,2016,81940.0,12610.0,38210.0,760.0,1450.0,990.0,11030.0,34720.0,7880.0,189590.0
4,2016,175870.0,39320.0,210380.0,14840.0,12250.0,5840.0,111270.0,170980.0,42520.0,783270.0
5,2016,3010.0,2390.0,6190.0,100.0,350.0,100.0,1100.0,17630.0,1530.0,32400.0
6,2016,64700.0,23700.0,31510.0,350.0,1230.0,730.0,7040.0,34920.0,8080.0,172260.0
7,2016,6800.0,5040.0,15650.0,240.0,830.0,200.0,3140.0,54640.0,3900.0,90440.0
8,2016,3670.0,2180.0,8580.0,150.0,500.0,110.0,1500.0,34010.0,1780.0,52480.0
9,2016,9750.0,14560.0,84000.0,1290.0,2190.0,3880.0,21130.0,63350.0,12620.0,212770.0
10,2016,27080.0,9270.0,41940.0,1240.0,1600.0,950.0,9230.0,51980.0,7220.0,150510.0
11,2016,54510.0,7340.0,37220.0,1880.0,1580.0,710.0,14930.0,42490.0,7350.0,168010.0
12,2016,29200.0,11560.0,44970.0,2510.0,2030.0,870.0,15920.0,66960.0,11180.0,185200.0
13,2016,33860.0,12860.0,34830.0,950.0,1630.0,770.0,11690.0,28780.0,5430.0,130800.0
