ZE2020,libze2020,fc_2026_mean,fc_2026_std,fc_uncertainty_cv,pred_2025_std,herald_wmape,risk_score
7513,La Teste-de-Buch,3541.3640644108323,22.127801518867926,0.006248383706505271,108.31923267151912,1.6144147910929223,86.78571428571429
2408,Loches,743.0958928685327,4.6284373384142725,0.006228586892799754,79.98771583872248,9.319139546198517,63.92857142857142
5304,Dinan,1477.3561271545639,9.189891894708754,0.0062204987178066445,70.335625140705,5.732221060770119,68.57142857142857
7519,Mont-de-Marsan,2021.4547396057885,12.525793046701912,0.006196425178999859,75.35106553654907,2.28648099783564,79.64285714285714
2702,Auxerre,2429.0113909101105,14.964293123618265,0.006160651687191715,66.80560087825745,2.0481182360310806,86.07142857142858
2414,Vendôme,841.9010232351972,5.132795955868204,0.006096673853826976,70.51274467641957,8.822618705405876,70.35714285714286
7525,Rochefort,1271.3558059886684,7.7460983974919415,0.006092785639554457,71.64316744401678,3.040650078745986,78.21428571428571
2411,Pithiviers,870.5753607693147,5.267381456531879,0.006050460068014298,60.39110401106703,7.324794930313506,80.0
2716,Saint-Claude,725.4822942778442,4.299036934745422,0.005925764100176623,71.00275881721791,8.018691550649976,84.64285714285714
8411,La Maurienne,763.5917102508648,4.494912321424436,0.00588653892005678,73.21946336461217,10.180010105858164,28.92857142857143
7620,Perpignan,10972.983185302375,64.55293152960502,0.005882897151985946,242.36103097275242,2.905407490120267,50.0
5313,Quimper,4222.53764743674,24.7542294434572,0.005862405858828534,98.4417010352867,1.827949720069632,47.14285714285714
3218,Roubaix-Tourcoing,6638.671168614092,38.8808371744093,0.00585671984451162,229.9932852870605,1.802862072413624,98.92857142857143
2708,Charolais,1178.4767758798507,6.842842544346623,0.005806514548611072,86.34359345825331,6.004804230502648,32.857142857142854
8402,Aubenas,2159.0443998363066,12.465251151686745,0.005773503848569223,65.65929995649878,2.3268333458114765,75.0
1106,Marne-la-Vallée,11446.60703010992,65.84681500727223,0.005752518177138811,1191.2995075346264,1.9198273010322189,83.21428571428572
5217,Pornic,1219.2560285180446,6.910520455173423,0.00566781733576735,56.49048921500398,3.6715518162950858,81.42857142857143
9305,Carpentras,2027.0006814965,11.452900138109548,0.005650170837463196,68.5935535877675,1.4662719516716032,69.28571428571428
7609,Castelsarrasin-Moissac,1172.7545569287126,6.599912489348835,0.005627701423419,71.70920920930816,3.395524349224801,48.214285714285715
53,Avignon,6761.593262353752,37.956441277721396,0.005613535124783375,189.13533583683028,1.6608379308484558,66.78571428571428
8434,Villefranche-sur-Saône,3476.872674292334,19.304771935159632,0.005552337903512337,124.03839938909415,1.525149764052537,77.85714285714286
5203,Challans,2519.358621306953,13.937043504910266,0.005531980793460928,70.09706540378964,1.405711306006384,71.78571428571429
8416,Le Genevois Français,7835.079566881131,43.241892067774565,0.005519011223645766,88.18089492534429,2.6349900500542405,36.07142857142857
7622,Saint-Gaudens,2161.929092368761,11.761417927097488,0.005440242220992945,62.85575223619514,1.7182385131361577,65.71428571428571
5310,Morlaix,1742.7997110087242,9.451705934466913,0.005423288674403274,82.77628581895279,2.7045856851744823,12.142857142857142
8435,Voiron,3563.9825972311382,19.2160042370406,0.0053917222412841,64.2213284647648,1.6824814197639817,49.28571428571429
51,Alençon,1521.2490391324322,8.190349982208883,0.005383963947730633,59.08430929485279,2.5582910533288716,39.64285714285714
7531,Tulle,1208.801587765579,6.416392590930951,0.0053080610216531855,75.75453712229593,4.85636014007044,37.142857142857146
5318,Vannes,3931.990329812192,20.314472489980314,0.005166460440138116,92.38528100119446,1.5493428200257264,22.857142857142858
8424,Moulins,1207.1572757543627,6.14473442810523,0.005090251743929004,66.66273155236543,4.803591438204124,62.5
8418,Le Mont Blanc,1931.510560181642,9.830849859838752,0.005089720999979542,46.5095265108966,2.9229667190795605,34.285714285714285
9306,Cavaillon,2850.039167970065,14.480293790259346,0.005080735013397344,69.106600407662,1.1868941191020226,55.00000000000001
7506,Bressuire,1263.5261734745798,6.416512453668148,0.005078258439256018,58.665439020276125,3.6622317783040628,74.28571428571429
5213,Les Herbiers-Montaigu,1787.526766714963,9.058908282780791,0.0050678448297749685,68.55447328437,2.9226984787605703,61.78571428571429
2813,Le Havre,4431.957064297265,22.38734815022523,0.005051345901017881,112.98322232255153,2.064890432598864,73.92857142857143
5219,Saint-Nazaire,3847.731735181321,19.32304128951326,0.005021930482532114,120.0818972389835,1.8512747365445246,65.35714285714286
7532,Villeneuve-sur-Lot,1677.4797265765694,8.412756003807088,0.00501511635015464,102.38745189293452,4.415762857891223,13.571428571428571
7529,Sarlat-la-Canéda,1272.0462406763552,6.378094667435667,0.005014043093311131,65.74351791142746,3.995920921558286,42.857142857142854
2704,Beaune,1405.6716383964058,6.966797069585313,0.004956205189949664,68.7896637053181,4.441081797845228,49.642857142857146
2808,Évreux,2868.114602547709,14.209464093275583,0.004954287419565976,60.8546666631246,2.0030366628777623,23.57142857142857
2412,Romorantin-Lanthenay,1306.1461773451051,6.46112392119849,0.004946708135173262,80.0625313951546,4.5873877777371375,41.785714285714285
57,Dreux,2279.4204314256936,11.170448116560127,0.00490056505704541,69.65510832293403,1.5572968367213533,66.42857142857143
