ZE2020,graph_source,self_weight,top1_ze,top1_name,top1_weight,top2_ze,top2_name,top2_weight,top3_ze,top3_name,top3_weight,total_outflow,top3_concentration,graph_dependency_high,learned_adj_status,libze2020,opportunity_score,risk_score,risk_graph_component
5201,mobility_prior,0.0,5216,Nantes,0.4402185522026602,5202,Angers,0.2462358719641611,5206,Cholet,0.2014128115946865,0.999999999999996,0.8878672357615114,True,pending,Ancenis,34.64285714285714,57.49999999999999,0.925
5202,mobility_prior,0.0,5206,Cholet,0.1440795717362302,5220,Saumur,0.1428921495605795,5201,Ancenis,0.1123412368840531,0.9999999999999921,0.399312958180866,False,pending,Angers,92.85714285714286,7.857142857142857,0.014285714285714285
5203,mobility_prior,0.0,5216,Nantes,0.3659093796344068,5210,La Roche-sur-Yon,0.3577007519931113,5214,Les Sables-d'Olonne,0.1000036368576371,0.9999999999999956,0.8236137684851589,True,pending,Challans,53.57142857142857,71.78571428571429,0.75
5204,mobility_prior,0.0,5211,Laval,0.4980117275590684,5221,Segré-en-Anjou Bleu,0.1885163899342312,5218,Sablé-sur-Sarthe,0.0963463096488819,0.9999999999999983,0.7828744271421828,True,pending,Château-Gontier-sur-Mayenne,0.7142857142857143,90.89285714285714,0.6714285714285714
5205,mobility_prior,0.0,5216,Nantes,0.5989108455791559,5315,Rennes,0.1153043955356492,5201,Ancenis,0.0814937518349845,0.999999999999998,0.7957089929497911,True,pending,Châteaubriant,25.357142857142854,26.42857142857143,0.6892857142857143
5206,mobility_prior,0.0,5216,Nantes,0.2734810128240458,5213,Les Herbiers-Montaigu,0.19476515938398,5202,Angers,0.190918485475144,0.9999999999999946,0.6591646576831733,True,pending,Cholet,67.85714285714286,24.642857142857146,0.36428571428571427
5207,mobility_prior,0.0,5210,La Roche-sur-Yon,0.2467502831317597,7520,Niort,0.2147147142396745,5213,Les Herbiers-Montaigu,0.1889289372244895,0.9999999999999951,0.650393934595927,True,pending,Fontenay-le-Comte,66.78571428571428,16.785714285714285,0.35
5208,mobility_prior,0.0,5212,Le Mans,0.5442022753770301,61,Nogent-le-Rotrou,0.1601517366612343,2414,Vendôme,0.0941831619120012,0.9999999999999962,0.7985371739502686,True,pending,La Ferté-Bernard,5.0,96.07142857142857,0.7
5209,mobility_prior,0.0,5202,Angers,0.2949323535092573,5212,Le Mans,0.2722887307789546,5218,Sablé-sur-Sarthe,0.248159086389838,0.9999999999999963,0.8153801706780529,True,pending,La Flèche,1.7857142857142856,93.57142857142857,0.7428571428571429
5210,mobility_prior,0.0,5213,Les Herbiers-Montaigu,0.3115497408494567,5214,Les Sables-d'Olonne,0.1869691167673094,5203,Challans,0.1753270289686422,0.9999999999999958,0.6738458865854111,True,pending,La Roche-sur-Yon,85.71428571428571,6.071428571428571,0.3964285714285714
5211,mobility_prior,0.0,5215,Mayenne,0.2876738412522929,5319,Vitré,0.1966980740262821,5204,Château-Gontier-sur-Mayenne,0.1544493646727682,0.9999999999999953,0.6388212799513462,True,pending,Laval,46.785714285714285,83.57142857142857,0.32857142857142857
5212,mobility_prior,0.0,5208,La Ferté-Bernard,0.2317181222650293,5218,Sablé-sur-Sarthe,0.14869733641262,51,Alençon,0.122175742254815,0.9999999999999929,0.5025912009324679,True,pending,Le Mans,58.214285714285715,85.71428571428571,0.08571428571428572
5213,mobility_prior,0.0,5210,La Roche-sur-Yon,0.3221609748388765,5206,Cholet,0.2456401605091543,5216,Nantes,0.2319379388777611,0.999999999999996,0.7997390742257952,True,pending,Les Herbiers-Montaigu,56.785714285714285,61.78571428571429,0.7107142857142857
5214,mobility_prior,0.0,5210,La Roche-sur-Yon,0.5870560164499256,5203,Challans,0.1482182912600786,5207,Fontenay-le-Comte,0.0674709548078423,0.9999999999999961,0.8027452625178495,True,pending,Les Sables-d'Olonne,37.857142857142854,58.214285714285715,0.7178571428571429
5215,mobility_prior,0.0,5211,Laval,0.6364661759272549,2809,Flers,0.1017901811237482,51,Alençon,0.0556562409707468,0.9999999999999967,0.7939125980217525,True,pending,Mayenne,16.785714285714285,92.5,0.6857142857142857
5216,mobility_prior,0.0,5219,Saint-Nazaire,0.1722664328481426,5213,Les Herbiers-Montaigu,0.1187273768836772,5201,Ancenis,0.1026323010074731,0.999999999999991,0.3936261107392965,False,pending,Nantes,59.285714285714285,15.714285714285714,0.0035714285714285713
5217,mobility_prior,0.0,5216,Nantes,0.4417880739587172,5219,Saint-Nazaire,0.4261916491336138,5203,Challans,0.0643054814824261,0.9999999999999959,0.9322852045747608,True,pending,Pornic,18.928571428571427,81.42857142857143,0.9821428571428571
5218,mobility_prior,0.0,5212,Le Mans,0.4343946264618935,5209,La Flèche,0.1811562341611015,5202,Angers,0.1567864608058948,0.9999999999999973,0.7723373214288919,True,pending,Sablé-sur-Sarthe,3.214285714285714,99.64285714285714,0.625
5219,mobility_prior,0.0,5216,Nantes,0.6551422138672613,5217,Pornic,0.1095806651491503,5318,Vannes,0.0623620823305368,0.9999999999999936,0.8270849613469538,True,pending,Saint-Nazaire,51.07142857142857,65.35714285714286,0.7642857142857142
5220,mobility_prior,0.0,5202,Angers,0.4739663924663693,2406,Chinon,0.1400782850321918,7530,Thouars,0.0963409708692418,0.9999999999999959,0.7103856483678057,True,pending,Saumur,30.53571428571429,65.0,0.475
