ZE2020,herfindahl_hist,sectoral_concentration_high,dominant_sector_1,dominant_sector_2,dominant_sector_3,dominant_3_share_pct,hist_share_BE_pct,hist_share_FZ_pct,hist_share_GI_pct,hist_share_JZ_pct,hist_share_KZ_pct,hist_share_LZ_pct,hist_share_MN_pct,hist_share_OQ_pct,hist_share_RU_pct,growth_BE_pct,growth_FZ_pct,growth_GI_pct,growth_JZ_pct,growth_KZ_pct,growth_LZ_pct,growth_MN_pct,growth_OQ_pct,growth_RU_pct,nat_growth_BE_pct,nat_growth_FZ_pct,nat_growth_GI_pct,nat_growth_JZ_pct,nat_growth_KZ_pct,nat_growth_LZ_pct,nat_growth_MN_pct,nat_growth_OQ_pct,nat_growth_RU_pct,fc_prop_BE,fc_prop_FZ,fc_prop_GI,fc_prop_JZ,fc_prop_KZ,fc_prop_LZ,fc_prop_MN,fc_prop_OQ,fc_prop_RU,libze2020,opportunity_score,risk_score
5221,0.1763326111218626,False,GI,MN,RU,59.95174909529553,10.554885404101327,9.288299155609167,32.448733413751505,2.3522316043425815,3.618817852834741,4.764776839565742,15.078407720144751,9.469240048250905,12.424607961399277,19.101123595505616,-18.367346938775512,69.90291262135922,-17.647058823529413,53.333333333333336,17.24137931034483,20.0,-29.230769230769234,10.81081081081081,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.16007359176874156,0.0827720388770103,0.23378849476575847,0.03379775770008559,0.03318716920912261,0.04813434183597559,0.2061882376670837,0.08031116575002666,0.12174721509218212,Segré-en-Anjou Bleu,14.285714285714285,87.14285714285714
5301,0.15751793007266188,False,GI,MN,RU,58.469817501169864,7.1127749181094995,9.59288722508189,26.204960224613945,3.205428170332241,3.43940102948058,6.761815629386991,19.817501169864297,11.417875526438934,12.447356106691624,15.671641791044777,-1.574803149606299,13.684210526315791,5.263157894736842,-29.82456140350877,13.761467889908257,17.166212534059948,10.81081081081081,-2.7027027027027026,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.11473910063505169,0.0907870955765247,0.25765039324760436,0.03944309167563909,0.03431952390819784,0.049626857787370644,0.20107718557119364,0.09060636609792704,0.12175037562847132,Auray,41.07142857142857,23.92857142857143
5302,0.16788789359465656,False,GI,MN,OQ,62.31294605172282,5.62504796255084,9.178113728800552,28.977054715677998,4.166986417005602,3.7142199370731337,4.481620750517996,18.363901465735555,14.971989870309264,10.521065152329061,50.689655172413794,-3.16622691292876,27.254707631318137,18.22222222222222,11.180124223602485,35.43307086614173,17.425742574257423,2.7287319422150884,3.8525963149078724,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.07785189002752298,0.08701391890645023,0.26982182264328003,0.04669311828911301,0.032637081854045354,0.04732296355068679,0.21816571652889247,0.10434877350926394,0.11614473015069957,Brest,83.92857142857143,19.28571428571429
5303,0.17587221935480304,False,GI,MN,RU,61.74929463925836,9.673518742442564,8.544941555824265,30.713422007255136,2.7005239822652154,2.3377670294236195,3.506650544135429,17.77509068923821,11.487303506650544,13.260781942765016,46.103896103896105,36.84210526315789,-10.526315789473683,9.375,17.647058823529413,5.88235294117647,19.047619047619047,12.676056338028168,3.225806451612903,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.1457973107695579,0.08399119451642033,0.22959841191768643,0.041676638647913884,0.037870866060256914,0.05189464911818501,0.20301637649536128,0.08396029844880101,0.1221942320466041,Carhaix-Plouguer,15.714285714285714,74.64285714285714
5304,0.17274907707123124,False,GI,MN,RU,60.41602936677883,6.913429183236463,10.278372591006423,31.263383297644538,2.6001835423676964,4.710920770877944,4.160293667788315,16.335270724992352,10.920770877944326,12.81737534414194,20.0,-14.87603305785124,12.237762237762238,64.70588235294117,0.0,29.6875,12.014134275618375,20.32520325203252,-0.9852216748768473,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.12724253237247465,0.08545649647712703,0.2457476913928985,0.04076033458113665,0.034684002771973574,0.050231652334332424,0.2077321901917457,0.085983707755804,0.12216142416000361,Dinan,51.42857142857142,68.57142857142857
5305,0.16739030654507828,False,GI,MN,RU,58.94386298763083,8.658420551855375,7.9923882017126555,30.589914367269266,3.9486203615604185,4.281636536631779,5.280685061845861,17.07897240723121,10.894386298763083,11.274976213130353,56.56565656565656,-8.21917808219178,24.186046511627907,-6.0606060606060606,5.263157894736842,2.127659574468085,15.032679738562091,11.940298507462686,12.605042016806722,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.13704944178462025,0.08698264956474298,0.2562184348702431,0.032156063802540255,0.03039303254336114,0.048328844085335686,0.20370205938816066,0.08134491518139834,0.12382454797625539,Fougères,35.0,20.714285714285715
5306,0.20630716442300948,False,GI,MN,RU,64.76617552850738,6.534272901985906,8.968609865470851,37.860345932094816,2.434336963484945,2.8827674567584882,3.779628443305574,14.67008327994875,10.634208840486867,12.235746316463805,28.39506172839506,-8.955223880597014,6.508875739644971,94.11764705882352,-4.761904761904762,0.0,23.684210526315788,-10.0,9.75609756097561,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.15881887674331663,0.07881241366267201,0.22237916737794872,0.04110198132693764,0.03768482618033882,0.051775766909122424,0.2067492082715034,0.08158192411065096,0.12109584212303157,Guingamp,29.642857142857142,98.57142857142858
5307,0.18110601835393655,False,GI,MN,RU,62.2232263895165,7.63669227293267,8.088567555354723,32.80614550384094,2.3045639403524625,5.5580659737912335,3.7505648441030277,17.803886127428832,10.43831902394939,11.613194758246724,25.263157894736842,-9.230769230769232,22.807017543859647,112.5,2.857142857142857,11.11111111111111,39.375,9.090909090909092,16.666666666666664,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.1479299411177635,0.08154296651482579,0.22984979450702664,0.04108419977128501,0.0363323729485273,0.05046709924936289,0.20795282721519465,0.08202405944466587,0.12281674146652218,Lamballe-Armor,13.214285714285715,94.64285714285714
5308,0.17998653839920398,False,GI,MN,OQ,61.620416253716556,6.640237859266601,8.597621407333994,32.680872150644205,3.9890981169474724,3.221010901883053,4.509415262636274,17.46778989098117,11.47175421209118,11.422200198216055,50.74626865671642,14.285714285714285,14.14790996784566,41.81818181818181,-24.390243902439025,3.9215686274509802,2.6402640264026402,-7.6923076923076925,19.2090395480226,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.12733330950140948,0.08589108884334559,0.25449732244014733,0.03880401961505408,0.03440543729811901,0.04991977140307421,0.20011767745018,0.08880482167005535,0.12022654488682742,Lannion,48.57142857142857,44.285714285714285
5309,0.1579335336122751,False,GI,MN,OQ,57.81792080392391,6.304581887785621,11.388922119870799,27.000837420744105,3.3496829764325877,3.911951190333772,5.849982055269769,18.219882761095825,12.597200622083982,11.376958966383539,11.811023622047244,6.122448979591836,22.11690363349131,33.89830508474576,7.207207207207207,17.261904761904763,27.662957074721778,-2.023121387283237,10.584958217270195,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.09295061007142062,0.0870389014482498,0.2660542666912079,0.04459387436509128,0.033938718028366524,0.04910795688629145,0.20903537273406977,0.0991416878998279,0.11813861578702922,Lorient,89.28571428571429,3.571428571428571
