ZE2020,libze2020,obs_2025,obs_2025_vs_national_pct,obs_2025_percentile,obs_2025_national_rank,obs_growth_2024_2025_pct,hist_mean,pred_growth_vs_hist_pct,fc_2026_mean,fc_2026_std,fc_2026_ridge,fc_growth_2025_2026_pct,fc_acceleration_2026_vs_hist_pct,fc_2026_vs_national_pct,fc_2026_percentile,fc_2026_national_rank,herald_wmape,ridge_wmape,opportunity_score,opportunity_tier
2815,Rouen,11254,148.3784288672373,93.21428571428572,20,9.570635770616299,6042.222222222223,80.8013502658212,12252.195958928018,32.69553986281163,12130.311198643594,8.869699297387752,102.77632149752142,154.76923583547014,93.57142857142857,19,1.983840244568317,5.32603585221663,99.64285714285714,très élevée
4423,Strasbourg,12190,169.0361691746599,94.28571428571428,17,-4.541895066562255,8003.333333333333,53.68535408423574,12072.21861630637,156.1440401559044,12981.943231784888,-0.9662131558132021,50.83988275268268,151.02682996789153,93.21428571428572,20,1.8019465251820972,9.170007733414792,23.92857142857143,faible
1106,Marne-la-Vallée,10817,138.7337360100325,92.5,22,6.581929254113705,5577.555555555556,97.34816004737313,11446.60703010992,65.84681500727223,11601.891366200009,5.820532773503936,105.22623066853119,138.0180120972515,92.85714285714286,21,1.9198273010322189,4.904095391955389,82.85714285714286,très élevée
1113,Saclay,10850,139.46205377728137,92.85714285714286,21,4.006901840490797,5886.444444444444,89.37098647838323,11339.275043264895,29.425952298860757,11612.634332815676,4.509447403363091,92.63368830341663,135.78617640339908,92.5,22,1.6789777224509326,4.306188673246805,88.57142857142857,très élevée
7620,Perpignan,10374,128.95662174060064,92.14285714285714,23,3.440023930601256,6193.444444444444,66.48201520400796,10972.983185302375,64.55293152960502,11138.533092605232,5.773888425895269,77.17093103410664,128.16959101260923,92.14285714285714,23,2.905407490120267,8.300512945466219,42.142857142857146,modérée
9301,Aix-en-Provence,10241,126.02128043623395,91.78571428571428,24,1.6779189833200951,6528.222222222223,57.558732370881124,10617.908647061467,37.32934988317493,10943.828761197208,3.680389093462235,62.646250167738714,120.7862558883983,91.78571428571428,24,1.1201737030228758,6.107775670452564,57.49999999999999,élevée
8428,Saint-Étienne,9292,105.07662706898604,91.42857142857143,25,5.089346301741688,5141.0,77.69786279159834,9901.05414325964,35.907300600836734,9992.702864954586,6.554607654537668,92.59004363469442,105.88015458614768,91.42857142857143,25,1.6669618424065855,6.30776824009066,89.64285714285715,très élevée
2804,Caen,8760,93.33526185151933,91.07142857142857,26,10.230275575688939,5068.222222222223,66.34270667115825,9547.737340103939,23.705162440168312,9478.459957062556,8.992435389314366,88.38434704462543,98.53336938539213,91.07142857142857,26,2.4728853082905484,5.764614291055833,92.14285714285714,très élevée
2413,Tours,8575,89.2522683078514,90.71428571428571,27,3.675492685285939,4850.0,73.5395817033321,9020.922189422807,31.52803265620575,9196.064376159868,5.200258768779086,85.9983956582022,87.57890099331762,90.71428571428571,27,2.2827590052750413,8.305672329821236,71.07142857142857,élevée
7503,Bayonne,8378,84.90443193972933,90.35714285714286,28,6.549662978506932,4933.333333333333,65.92093708524374,8900.65202331729,26.035633480398438,9001.470292665435,6.238386528017313,80.41862209426941,85.078031890732,90.35714285714286,28,2.359216728738802,6.52096008063319,68.57142857142857,élevée
