source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
20,0.024143137,0.023810433,0.023020284,0.024389796,0.02495831,0.02372436,0.023860507,0.0218307,0.024299208,0.024990246,0.022287097,0.024419177,0.0248479,0.02375458,0.024359442,0.020272942,0.024464414,0.024334691,0.02383052,0.02294061,0.02503732,0.02463824,0.023293806,0.02253018,0.023019215,0.02281176,0.02459543,0.023725025,0.022369405,0.024740137,0.024459235,0.023780698,0.024958834,0.022155862,0.022714162,0.02417023,0.024354625,0.024995798,0.024512967,0.02379264,0.023893824,0.024912309
21,0.024324613,0.024545277,0.023247702,0.024344077,0.024419589,0.023578826,0.02412065,0.022551777,0.02434581,0.024810415,0.02215268,0.024190417,0.024330959,0.02415324,0.02443891,0.022284884,0.024694247,0.023976933,0.024003565,0.0231459,0.024691544,0.02509149,0.023256706,0.022439338,0.023053255,0.022519112,0.024951927,0.024144534,0.02222117,0.024573678,0.024753695,0.023693718,0.024494156,0.021900905,0.021702455,0.024402652,0.024080927,0.024755612,0.024201524,0.023222351,0.023848468,0.024340449
22,0.024501674,0.023363145,0.02466386,0.024456011,0.023373388,0.024706386,0.02460837,0.023784911,0.024533445,0.022955805,0.02465259,0.024294764,0.023463834,0.024400292,0.024034532,0.019232893,0.024134615,0.024430329,0.02466466,0.024551276,0.023075778,0.022989288,0.024802973,0.02462329,0.02467896,0.024512323,0.023651913,0.024362268,0.024650037,0.022652457,0.023261575,0.024755284,0.023337677,0.024582792,0.017359322,0.024343694,0.024442919,0.022733036,0.02438455,0.024402555,0.024660168,0.022930373
23,0.02445052,0.023024997,0.025032522,0.024430407,0.023189617,0.024813356,0.024728877,0.024186514,0.024598386,0.02257808,0.025181348,0.024093285,0.023421297,0.02430665,0.024115596,0.01818007,0.024048828,0.024641706,0.02485322,0.025051989,0.022753304,0.022612639,0.025102096,0.025285276,0.02518123,0.024673777,0.02346602,0.024256742,0.025220215,0.022355124,0.022629306,0.025008045,0.023019234,0.02515509,0.016603168,0.024149647,0.02463635,0.02225315,0.024381073,0.024848105,0.024660671,0.022822488
24,0.024462277,0.02346147,0.024714608,0.024330419,0.023250112,0.024565687,0.024671817,0.02430148,0.024535837,0.022898182,0.024716415,0.024062999,0.0235668,0.02427228,0.024305735,0.018940236,0.024221448,0.024545178,0.02477976,0.024917759,0.02295213,0.022936447,0.024839533,0.024861632,0.024964355,0.024389056,0.023730122,0.024188694,0.024735238,0.022802072,0.022906374,0.02481054,0.023173235,0.024639849,0.01705884,0.024211371,0.024457918,0.02254699,0.02428978,0.024501864,0.02453412,0.022949437
25,0.024512956,0.023089275,0.024483899,0.024457715,0.023466336,0.024972435,0.024480136,0.023584105,0.024480075,0.022874925,0.024896203,0.02466228,0.023432614,0.024271725,0.02389809,0.018614683,0.023990167,0.024486164,0.024610829,0.024427261,0.02301263,0.022668362,0.024961809,0.024646956,0.024675727,0.025257789,0.023341661,0.024243,0.024820542,0.022495892,0.023335673,0.024832634,0.023557447,0.024912598,0.017235545,0.02437217,0.0244019,0.022702223,0.024570625,0.024485817,0.024935769,0.022841424
26,0.024371024,0.024439454,0.023546332,0.024295539,0.024117574,0.023738008,0.024259014,0.023139091,0.024383128,0.024407743,0.022667907,0.02411495,0.02419549,0.024180958,0.024490548,0.021633921,0.024636226,0.024100082,0.024198618,0.023615342,0.024295362,0.024594298,0.0235841,0.022952424,0.023509122,0.022855632,0.024731861,0.024132436,0.022728754,0.024281533,0.024317428,0.023925403,0.024169505,0.022446005,0.020590007,0.02437272,0.02412735,0.024249753,0.024171513,0.023447601,0.023971103,0.024015086
27,0.024609813,0.024057154,0.024419704,0.024530314,0.023452802,0.024422977,0.024594989,0.02340621,0.024524715,0.023414692,0.023811217,0.024299575,0.023335885,0.02474444,0.02393044,0.021512643,0.024345733,0.023996526,0.024484323,0.023963397,0.023457482,0.023820722,0.024315126,0.023748018,0.023985824,0.023760393,0.024154995,0.02475498,0.023819594,0.022967247,0.024144549,0.024364933,0.023496095,0.023617016,0.018227633,0.024641668,0.024195235,0.023317533,0.024213478,0.023663076,0.02450156,0.02297531
28,0.024506714,0.022908548,0.025130052,0.024519762,0.023144493,0.025006454,0.024740336,0.02403694,0.024611956,0.02243914,0.025356052,0.024257561,0.023241524,0.02443395,0.023899894,0.0182163,0.023951482,0.024577428,0.02484521,0.024947524,0.022667328,0.022468507,0.025214337,0.025305497,0.02513793,0.024931572,0.023315921,0.024412122,0.025370777,0.022071257,0.022757296,0.025057819,0.023002412,0.025344832,0.016344223,0.024252454,0.024638101,0.022180159,0.024444608,0.02484629,0.024822667,0.022642577
29,0.024173142,0.024396027,0.022760944,0.024134258,0.024811914,0.023374481,0.0238996,0.022451703,0.024244536,0.025182866,0.021955056,0.024193265,0.025052615,0.023622675,0.024843251,0.020816958,0.024742404,0.024367362,0.023904387,0.023234477,0.025030857,0.024808766,0.023135187,0.02239602,0.023137446,0.02256157,0.024870286,0.023502164,0.022037119,0.025331533,0.024377948,0.02368484,0.024906104,0.021784859,0.022539651,0.024160098,0.024122944,0.02501777,0.024300488,0.023494387,0.023717629,0.024920454
30,0.024484895,0.024471307,0.023358388,0.024463167,0.02425774,0.02395087,0.02415342,0.022391839,0.02434835,0.024539862,0.022482088,0.024557902,0.023986533,0.024424972,0.024079872,0.02249423,0.024547383,0.023849474,0.024003634,0.02298029,0.024476103,0.02471729,0.023497554,0.02242285,0.022989169,0.023147935,0.024634749,0.024436768,0.02247368,0.024111427,0.025054589,0.023791661,0.024463456,0.02225688,0.020954603,0.024675742,0.023979945,0.024585666,0.024298504,0.023101797,0.024222104,0.023881292
