source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
25,0.0,0.0,0.07230829,0.0,0.0,0.08524969,0.0,0.035600886,0.0,0.0,0.04243241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011738671,0.0,0.0,0.0,0.027085539,0.0,0.031078612,0.6653517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02915424,0.0,0.0
26,0.0,0.009000034,0.0,0.0,0.0,0.0,0.0,0.31729385,0.027416328,0.0,0.0,0.0,0.0,0.0,0.0,0.050206404,0.0,0.0,0.009457201,0.010849169,0.0,0.0,0.0,0.0,0.027457267,0.0,0.5387056,0.0,0.0,0.0,0.0,0.009614137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.024182,0.0,0.0,0.0,0.0,0.18078491,0.049904827,0.0,0.01511828,0.0,0.013794978,0.0,0.032973804,0.03471404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6297471,0.0,0.018780023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061556436,0.25665095,0.0,0.03023749,0.0,0.0,0.0,0.0,0.010598262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010684779,0.08097938,0.0,0.025133021,0.0,0.45974827,0.0,0.0,0.0,0.0,0.064411476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.010936375,0.0,0.0,0.0,0.0,0.053177923,0.021300595,0.0,0.11570653,0.0,0.016151179,0.0,0.0,0.027349113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6645524,0.0,0.0,0.0,0.0,0.061662193,0.0,0.0,0.0,0.0,0.0,0.0,0.029163668
30,0.005468181,0.20761646,0.0,0.0,0.0,0.0,0.0,0.04027782,0.0,0.0,0.0,0.0,0.0,0.0,0.0685831,0.01806654,0.0,0.0,0.0,0.0,0.0,0.03443005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58164823,0.0,0.03464549,0.0,0.0,0.0,0.0,0.009264104,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.027202234,0.0,0.0,0.0,0.2193602,0.0876656,0.0,0.0,0.0,0.0,0.0,0.0,0.04387204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05773215,0.012306147,0.0,0.08662962,0.0,0.0,0.0,0.0,0.4359892,0.0,0.029242795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.050817095,0.052039705,0.0,0.0,0.0,0.0,0.0,0.10484203,0.0,0.0,0.0,0.0,0.0,0.0,0.1259896,0.05971432,0.0,0.0,0.0,0.006790946,0.0,0.02918533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1021305,0.0,0.4684905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077680275,0.2512972,0.0,0.0,0.0,0.0,0.0,0.0,0.014593666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059309423,0.02308279,0.0,0.040175505,0.0,0.02148035,0.0,0.0,0.087809995,0.0,0.42457077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.009882223,0.0,0.0,0.009123996,0.0,0.06341303,0.024061063,0.0,0.108350605,0.0,0.0,0.0,0.0,0.089723505,0.007329526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10557044,0.0,0.0,0.0,0.0,0.58254564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.02043022,0.0,0.0,0.0,0.0,0.0,0.03293389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014225092,0.2996744,0.0,0.026248364,0.026795482,0.038872134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5307454,0.0,0.010074995,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.037808605,0.012094314,0.0,0.0,0.063744806,0.012316229,0.041345358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034271847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01413315,0.0,0.0,0.0,0.0,0.7753537,0.0,0.0,0.0,0.0,0.00893204
37,0.0,0.127932,0.0,0.0,0.0,0.0,0.0,0.027205395,0.0,0.0,0.0,0.0,0.0,0.0,0.005889716,0.0129823,0.027151212,0.0,0.0,0.028131928,0.012305009,0.04230626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7160963,0.0,0.0,0.0,0.0
38,0.0,0.0046608937,0.0,0.0,0.0,0.007488503,0.0,0.030016158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047541116,0.0,0.004174089,0.14527488,0.0,0.0,0.0,0.0,0.0,0.009508223,0.0,0.004723039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894001,0.0,0.0,0.0
39,0.0,0.0,0.2581556,0.0,0.0,0.043174557,0.0,0.028758267,0.0069852117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012186965,0.0,0.0,0.0,0.0056476183,0.0,0.0147878425,0.054841347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5754626,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13481443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022809679,0.0,0.0642099,0.30249193,0.013844024,0.0,0.0,0.0,0.0,0.04499308,0.0,0.048421122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015195466,0.0,0.3532204,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0181007,0.019256553,0.0,0.11868325,0.0,0.023879975,0.0,0.018817328,0.018609274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08262056,0.0,0.0,0.0,0.0,0.0,0.0,0.022099959,0.0,0.0,0.0,0.0,0.67793244
