idcom,idcomtxt,idreg,idregtxt,iddep,iddeptxt,epci24,epci24txt,scot,aav2020,aav2020txt,aav2020_typo,naf09art10,art09act10,art09hab10,art09mix10,art09rou10,art09fer10,art09inc10,naf10art11,art10act11,art10hab11,art10mix11,art10rou11,art10fer11,art10inc11,naf11art12,art11act12,art11hab12,art11mix12,art11rou12,art11fer12,art11inc12,naf12art13,art12act13,art12hab13,art12mix13,art12rou13,art12fer13,art12inc13,naf13art14,art13act14,art13hab14,art13mix14,art13rou14,art13fer14,art13inc14,naf14art15,art14act15,art14hab15,art14mix15,art14rou15,art14fer15,art14inc15,naf15art16,art15act16,art15hab16,art15mix16,art15rou16,art15fer16,art15inc16,naf16art17,art16act17,art16hab17,art16mix17,art16rou17,art16fer17,art16inc17,naf17art18,art17act18,art17hab18,art17mix18,art17rou18,art17fer18,art17inc18,naf18art19,art18act19,art18hab19,art18mix19,art18rou19,art18fer19,art18inc19,naf19art20,art19act20,art19hab20,art19mix20,art19rou20,art19fer20,art19inc20,naf20art21,art20act21,art20hab21,art20mix21,art20rou21,art20fer21,art20inc21,naf21art22,art21act22,art21hab22,art21mix22,art21rou22,art21fer22,art21inc22,naf22art23,art22act23,art22hab23,art22mix23,art22rou23,art22fer23,art22inc23,naf23art24,art23act24,art23hab24,art23mix24,art23rou24,art23fer24,art23inc24,naf09art24,art09act24,art09hab24,art09mix24,art09inc24,art09rou24,art09fer24,artcom0924,pop15,pop21,pop1521,men15,men21,men1521,emp15,emp21,emp1521,mepart1521,menhab1521,artpop1521,surfcom2024
51608,Vernancourt,44,Grand Est,51,Marne,200067379,Communauté de communes Côtes de Champagne et Val de Saulx,SCoT du Pays Vitryat,30,Commune hors attraction des villes,30,500,0,500,0,0,0,0,500,0,500,0,0,0,0,0,0,0,0,0,0,0,8500,0,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4560,0,4560,0,0,0,0,0,0,0,0,0,0,0,1418,0,1418,0,0,0,0,0,0,0,0,0,0,0,746,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,0,708,0,0,0,0,16932,0,16932,0,0,0,0,0.19,91,83,-8,37,38,1,8,13,5,10.41,1.49,-840.5,9075628
51609,Verneuil,44,Grand Est,51,Marne,200066850,Communauté de communes des Paysages de la Champagne,"SCoT d""Epernay et sa Région (SCOTER)",30,Commune hors attraction des villes,30,1091,0,1022,0,0,0,69,1092,0,1022,0,0,0,70,2931,0,2931,0,0,0,0,0,0,0,0,0,0,0,4702,823,3879,0,0,0,0,620,0,620,0,0,0,0,5098,0,5011,0,87,0,0,1002,0,1002,0,0,0,0,0,0,0,0,0,0,0,1235,0,1050,0,25,0,160,2479,0,2479,0,0,0,0,22,0,22,0,0,0,0,3294,909,2254,0,131,0,0,943,0,943,0,0,0,0,3772,0,3772,0,0,0,0,28281,1732,26007,0,299,243,0,0.22,839,842,3,355,370,16,233,219,-14,2.03,16.73,3278.67,13051751
51610,Verrières,44,Grand Est,51,Marne,200042703,Communauté de communes de l'Argonne Champenoise,,20,Sainte-Menehould,20,985,0,985,0,0,0,0,985,0,985,0,0,0,0,800,0,800,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,650,0,0,0,0,1963,0,877,0,361,0,725,0,0,0,0,0,0,0,5895,0,5895,0,0,0,0,1611,0,1611,0,0,0,0,1288,0,1288,0,0,0,0,1282,0,1282,0,0,0,0,1765,0,1765,0,0,0,0,0,0,0,0,0,0,0,18224,0,17138,0,725,361,0,0.32,421,390,-31,183,180,-3,29,14,-15,-16.66,-2.91,-367.97,5690229
51611,Vert-Toulon,44,Grand Est,51,Marne,200067684,"Communauté d'agglomération Épernay, Coteaux et Plaine de Champagne","SCoT d""Epernay et sa Région (SCOTER)",30,Commune hors attraction des villes,30,1107,0,1107,0,0,0,0,1108,0,1108,0,0,0,0,10231,0,10231,0,0,0,0,0,0,0,0,0,0,0,4752,0,4651,0,101,0,0,41546,0,0,0,0,0,41546,13603,0,0,0,4040,0,9563,15258,0,2249,0,0,0,13009,515,0,265,0,250,0,0,3995,0,3995,0,0,0,0,0,0,0,0,0,0,0,3604,0,3604,0,0,0,0,404,0,402,0,2,0,0,0,0,0,0,0,0,0,3114,0,3030,0,84,0,0,99237,0,30642,0,64118,4477,0,0.45,300,289,-11,136,131,-5,167,165,-3,-1.89,-4.94,-3361.36,22100267
51612,Blancs-Coteaux,44,Grand Est,51,Marne,200067684,"Communauté d'agglomération Épernay, Coteaux et Plaine de Champagne","SCoT d""Epernay et sa Région (SCOTER)",11,Blancs-Coteaux,11,22634,14959,5114,2060,0,0,501,22634,14960,5115,2060,0,0,499,33676,21090,12586,0,0,0,0,29466,4724,24644,0,98,0,0,40224,6479,31364,0,2381,0,0,35554,9956,24918,0,680,0,0,12426,8349,3243,0,86,0,748,43325,40574,2751,0,0,0,0,4891,1634,3251,0,6,0,0,35996,0,34247,704,45,0,1000,6467,0,5926,0,541,0,0,22016,1967,20049,0,0,0,0,16458,2000,14304,0,154,0,0,50111,48710,1389,0,12,0,0,3525,270,3249,0,2,0,4,379403,175672,192150,4824,2752,4005,0,0.58,3380,3182,-198,1438,1428,-10,2014,1816,-198,-16.62,-1.44,-631.92,65931694
51613,Verzenay,44,Grand Est,51,Marne,200067213,Communauté urbaine du Grand Reims,SCoT de la région remoise - CU du Grand Reims,20,Reims,20,10,0,0,10,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,1666,303,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,460,0,0,0,0,0,2367,763,1583,21,0,0,0,0.02,1051,1015,-36,405,417,12,479,400,-79,-381.33,82.53,-48.81,10574392
51614,Verzy,44,Grand Est,51,Marne,200067213,Communauté urbaine du Grand Reims,SCoT de la région remoise - CU du Grand Reims,20,Reims,20,1295,0,1295,0,0,0,0,1296,0,1296,0,0,0,0,198,0,198,0,0,0,0,701,0,701,0,0,0,0,1264,0,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,630,0,22,0,0,294,0,294,0,0,0,0,147,0,0,147,0,0,0,7137,1290,5678,147,0,22,0,0.05,1009,955,-54,435,424,-11,408,405,-3,-116.28,,-23.89,13330950
51616,Vésigneul-sur-Marne,44,Grand Est,51,Marne,200043438,Communauté de communes de la Moivre à la Coole,SCoT du Pays de Châlons-en-Champagne,20,Châlons-en-Champagne,20,19768,19768,0,0,0,0,0,19769,19769,0,0,0,0,0,4310,0,1310,0,0,0,3000,3249,0,2393,0,856,0,0,809,0,809,0,0,0,0,1721,0,0,0,0,0,1721,69,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,538,0,0,0,0,50233,39537,5119,0,4721,856,0,0.63,243,232,-11,97,90,-8,59,35,-24,-4637.68,-1159.42,-6.27,7926599
51617,La Veuve,44,Grand Est,51,Marne,200066876,Communauté d'agglomération de Châlons-en-Champagne,SCoT du Pays de Châlons-en-Champagne,20,Châlons-en-Champagne,20,21053,17569,802,0,2681,0,1,21053,17569,803,0,2682,0,-1,5517,0,5456,0,61,0,0,946,946,0,0,0,0,0,9231,2264,6967,0,0,0,0,71,0,71,0,0,0,0,21418,20778,640,0,0,0,0,0,0,0,0,0,0,0,4562,0,3321,0,1241,0,0,15992,15191,0,0,801,0,0,138,0,0,0,138,0,0,30431,26475,2894,0,1062,0,0,3819,0,2500,0,1319,0,0,1059,0,1059,0,0,0,0,5791,1777,4014,0,0,0,0,141081,102569,28527,0,0,9985,0,0.57,625,601,-24,247,238,-9,524,551,27,2.48,-13.13,-3022.54,24632512
51618,Le Vézier,44,Grand Est,51,Marne,245100888,Communauté de communes de la Brie Champenoise,SCoT du Pays de Brie et Champagne,20,Montmirail,20,536,0,536,0,0,0,0,537,0,537,0,0,0,0,1263,0,1263,0,0,0,0,0,0,0,0,0,0,0,2523,0,2523,0,0,0,0,0,0,0,0,0,0,0,1973,0,1973,0,0,0,0,786,0,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7618,0,7618,0,0,0,0,0.06,195,187,-8,77,77,1,19,15,-4,-10.87,3.62,-344.88,12364243
