year,codgeo,libgeo,zrr_status
2018,01386,Saint-Sorlin-en-Bugey,NC - Non classée
2018,01387,Saint-Sulpice,NC - Non classée
2018,01388,Saint-Trivier-de-Courtes,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,01389,Saint-Trivier-sur-Moignans,NC - Non classée
2018,01390,Saint-Vulbas,NC - Non classée
2018,01391,Salavre,NC - Non classée
2018,01392,Samognat,NC - Non classée
2018,01393,Sandrans,NC - Non classée
2018,01396,Sault-Brénaz,NC - Non classée
2018,01397,Sauverny,NC - Non classée
2018,01398,Savigneux,NC - Non classée
2018,01399,Ségny,NC - Non classée
2018,01400,Seillonnaz,NC - Non classée
2018,01401,Sergy,NC - Non classée
2018,01402,Sermoyer,NC - Non classée
2018,01403,Serrières-de-Briord,NC - Non classée
2018,01404,Serrières-sur-Ain,NC - Non classée
2018,01405,Servas,NC - Non classée
2018,01406,Servignat,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,01407,Seyssel,NC - Non classée
2018,01408,Simandre-sur-Suran,NC - Non classée
2018,01410,Sonthonnax-la-Montagne,NC - Non classée
2018,01411,Souclin,NC - Non classée
2018,01412,Sulignat,NC - Non classée
2018,01413,Surjoux,NC - Non classée
2018,01414,Sutrieu,NC - Non classée
2018,01415,Talissieu,NC - Non classée
2018,01416,Tenay,NC - Non classée
2018,01417,Thézillieu,NC - Non classée
2018,01418,Thil,NC - Non classée
2018,01419,Thoiry,NC - Non classée
2018,01420,Thoissey,NC - Non classée
2018,01421,Torcieu,NC - Non classée
2018,01422,Tossiat,NC - Non classée
2018,01423,Toussieux,NC - Non classée
2018,01424,Tramoyes,NC - Non classée
2018,01425,La Tranclière,NC - Non classée
2018,01426,Val-Revermont,NC - Non classée
2018,01427,Trévoux,NC - Non classée
2018,01428,Valeins,NC - Non classée
2018,01429,Vandeins,NC - Non classée
2018,01430,Varambon,NC - Non classée
2018,01431,Vaux-en-Bugey,NC - Non classée
2018,01432,Verjon,NC - Non classée
2018,01433,Vernoux,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,01434,Versailleux,NC - Non classée
2018,01435,Versonnex,NC - Non classée
2018,01436,Vesancy,NC - Non classée
2018,01437,Vescours,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,01439,Vésines,NC - Non classée
2018,01441,Vieu-d'Izenave,M - Sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
2018,01442,Vieu,NC - Non classée
2018,01443,Villars-les-Dombes,NC - Non classée
2018,01444,Villebois,NC - Non classée
2018,01445,Villemotier,NC - Non classée
2018,01446,Villeneuve,NC - Non classée
2018,01447,Villereversure,NC - Non classée
2018,01448,Villes,NC - Non classée
2018,01449,Villette-sur-Ain,NC - Non classée
2018,01450,Villieu-Loyes-Mollon,NC - Non classée
2018,01451,Viriat,NC - Non classée
2018,01452,Virieu-le-Grand,NC - Non classée
2018,01453,Virieu-le-Petit,NC - Non classée
2018,01454,Virignin,NC - Non classée
2018,01456,Vongnes,NC - Non classée
2018,01457,Vonnas,NC - Non classée
2018,02001,Abbécourt,NC - Non classée
2018,02002,Achery,NC - Non classée
2018,02003,Acy,NC - Non classée
2018,02004,Agnicourt-et-Séchelles,C - Classée
2018,02005,Aguilcourt,C - Classée
2018,02006,Aisonville-et-Bernoville,C - Classée
2018,02007,Aizelles,C - Classée
2018,02008,Aizy-Jouy,NC - Non classée
2018,02009,Alaincourt,C - Classée
2018,02010,Allemant,NC - Non classée
2018,02011,Ambleny,NC - Non classée
2018,02012,Ambrief,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,02013,Amifontaine,C - Classée
2018,02014,Amigny-Rouy,NC - Non classée
2018,02015,Ancienville,NC - Non classée
2018,02016,Andelain,NC - Non classée
2018,02017,Anguilcourt-le-Sart,NC - Non classée
2018,02018,Anizy-le-Château,C - Classée
2018,02019,Annois,NC - Non classée
2018,02020,Any-Martin-Rieux,C - Classée
2018,02021,Archon,C - Classée
2018,02022,Arcy-Sainte-Restitue,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,02023,Armentières-sur-Ourcq,C - Classée
2018,02024,Arrancy,NC - Non classée
2018,02025,Artemps,NC - Non classée
2018,02027,Assis-sur-Serre,C - Classée
2018,02028,Athies-sous-Laon,NC - Non classée
2018,02029,Attilly,NC - Non classée
2018,02030,Aubencheul-aux-Bois,NC - Non classée
2018,02031,Aubenton,C - Classée
2018,02032,Aubigny-aux-Kaisnes,NC - Non classée
2018,02033,Aubigny-en-Laonnois,C - Classée
2018,02034,Audignicourt,NC - Non classée
2018,02035,Audigny,C - Classée
2018,02036,Augy,NC - Non classée
2018,02037,Aulnois-sous-Laon,NC - Non classée
2018,02038,Les Autels,C - Classée
2018,02039,Autremencourt,C - Classée
2018,02040,Autreppes,C - Classée
2018,02041,Autreville,NC - Non classée
2018,02042,Azy-sur-Marne,C - Classée
2018,02043,Bagneux,NC - Non classée
2018,02044,Bancigny,C - Classée
2018,02046,Barenton-Bugny,C - Classée
2018,02047,Barenton-Cel,C - Classée
2018,02048,Barenton-sur-Serre,C - Classée
2018,02049,Barisis-aux-Bois,C - Classée
2018,02050,Barzy-en-Thiérache,C - Classée
2018,02051,Barzy-sur-Marne,C - Classée
2018,02052,Bassoles-Aulers,C - Classée
2018,02053,Vallées en Champagne,C - Classée
2018,02054,Bazoches-sur-Vesles,NC - Non classée
2018,02055,Beaumé,C - Classée
2018,02056,Beaumont-en-Beine,NC - Non classée
2018,02057,Beaurevoir,NC - Non classée
2018,02058,Beaurieux,C - Classée
2018,02059,Beautor,NC - Non classée
2018,02060,Beauvois-en-Vermandois,NC - Non classée
2018,02061,Becquigny,NC - Non classée
2018,02062,Belleau,C - Classée
2018,02063,Bellenglise,NC - Non classée
2018,02064,Belleu,NC - Non classée
2018,02065,Bellicourt,NC - Non classée
2018,02066,Benay,C - Classée
2018,02067,Bergues-sur-Sambre,C - Classée
2018,02068,Berlancourt,C - Classée
2018,02069,Berlise,C - Classée
2018,02070,Bernot,C - Classée
2018,02071,Berny-Rivière,NC - Non classée
2018,02072,Berrieux,C - Classée
2018,02073,Berry-au-Bac,C - Classée
2018,02074,Bertaucourt-Epourdon,NC - Non classée
2018,02075,Berthenicourt,C - Classée
2018,02076,Bertricourt,C - Classée
2018,02077,Berzy-le-Sec,NC - Non classée
2018,02078,Besmé,C - Classée
2018,02079,Besmont,C - Classée
2018,02080,Besny-et-Loizy,NC - Non classée
2018,02081,Béthancourt-en-Vaux,NC - Non classée
2018,02082,Beugneux,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,02083,Beuvardes,C - Classée
2018,02084,Bézu-le-Guéry,NC - Non classée
2018,02085,Bézu-Saint-Germain,C - Classée
2018,02086,Bichancourt,NC - Non classée
2018,02087,Bieuxy,NC - Non classée
2018,02088,Bièvres,NC - Non classée
2018,02089,Billy-sur-Aisne,NC - Non classée
2018,02090,Billy-sur-Ourcq,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,02091,Blanzy-lès-Fismes,NC - Non classée
2018,02093,Blérancourt,C - Classée
2018,02094,Blesmes,C - Classée
2018,02095,Bohain-en-Vermandois,NC - Non classée
2018,02096,Bois-lès-Pargny,C - Classée
2018,02097,Boncourt,C - Classée
2018,02098,Bonneil,C - Classée
2018,02099,Bonnesvalyn,C - Classée
2018,02100,Bony,NC - Non classée
2018,02101,Bosmont-sur-Serre,C - Classée
2018,02102,Bouconville-Vauclair,C - Classée
2018,02103,Boué,C - Classée
2018,02104,Bouffignereux,C - Classée
2018,02105,Bouresches,C - Classée
2018,02106,Bourg-et-Comin,C - Classée
2018,02107,Bourguignon-sous-Coucy,C - Classée
2018,02108,Bourguignon-sous-Montbavin,C - Classée
2018,02109,La Bouteille,C - Classée
2018,02110,Braine,NC - Non classée
2018,02111,Brancourt-en-Laonnois,C - Classée
2018,02112,Brancourt-le-Grand,NC - Non classée
2018,02114,Brasles,C - Classée
2018,02115,Braye-en-Laonnois,C - Classée
2018,02116,Braye-en-Thiérache,C - Classée
2018,02117,Bray-Saint-Christophe,NC - Non classée
2018,02118,Braye,NC - Non classée
2018,02119,Brécy,C - Classée
2018,02120,Brenelle,NC - Non classée
2018,02121,Breny,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,02122,Brie,NC - Non classée
2018,02123,Brissay-Choigny,C - Classée
2018,02124,Brissy-Hamégicourt,C - Classée
2018,02125,Brumetz,C - Classée
2018,02126,Brunehamel,C - Classée
2018,02127,Bruyères-sur-Fère,C - Classée
2018,02128,Bruyères-et-Montbérault,NC - Non classée
2018,02129,Bruys,NC - Non classée
2018,02130,Bucilly,C - Classée
2018,02131,Bucy-le-Long,NC - Non classée
2018,02132,Bucy-lès-Cerny,NC - Non classée
2018,02133,Bucy-lès-Pierrepont,C - Classée
2018,02134,Buire,C - Classée
2018,02135,Buironfosse,C - Classée
2018,02136,Burelles,C - Classée
2018,02137,Bussiares,C - Classée
2018,02138,Buzancy,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,02139,Caillouël-Crépigny,NC - Non classée
2018,02140,Camelin,C - Classée
2018,02141,La Capelle,C - Classée
2018,02142,Castres,NC - Non classée
2018,02143,Le Catelet,NC - Non classée
2018,02144,Caulaincourt,NC - Non classée
2018,02145,Caumont,NC - Non classée
2018,02146,Celles-lès-Condé,C - Classée
2018,02148,Celles-sur-Aisne,NC - Non classée
2018,02149,Cerizy,C - Classée
2018,02150,Cerny-en-Laonnois,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,02151,Cerny-lès-Bucy,NC - Non classée
2018,02152,Cerseuil,NC - Non classée
2018,02153,Cessières,NC - Non classée
2018,02154,Chacrise,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,02155,Chaillevois,C - Classée
2018,02156,Chalandry,C - Classée
2018,02157,Chambry,NC - Non classée
2018,02158,Chamouille,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,02159,Champs,C - Classée
2018,02160,Chaourse,C - Classée
2018,02162,La Chapelle-sur-Chézy,NC - Non classée
2018,02163,Charly-sur-Marne,NC - Non classée
2018,02164,Le Charmel,C - Classée
2018,02165,Charmes,NC - Non classée
2018,02166,Chartèves,C - Classée
2018,02167,Chassemy,NC - Non classée
2018,02168,Château-Thierry,C - Classée
2018,02169,Châtillon-lès-Sons,C - Classée
2018,02170,Châtillon-sur-Oise,C - Classée
2018,02171,Chaudardes,C - Classée
2018,02172,Chaudun,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,02173,Chauny,NC - Non classée
2018,02174,Chavignon,NC - Non classée
2018,02175,Chavigny,NC - Non classée
2018,02176,Chavonne,NC - Non classée
2018,02177,Chérêt,NC - Non classée
2018,02178,Chermizy-Ailles,C - Classée
2018,02179,Chéry-Chartreuve,NC - Non classée
2018,02180,Chéry-lès-Pouilly,C - Classée
2018,02181,Chéry-lès-Rozoy,C - Classée
2018,02182,Chevennes,C - Classée
2018,02183,Chevregny,C - Classée
2018,02184,Chevresis-Monceau,C - Classée
2018,02185,Chézy-en-Orxois,C - Classée
2018,02186,Chézy-sur-Marne,NC - Non classée
2018,02187,Chierry,C - Classée
2018,02188,Chigny,C - Classée
2018,02189,Chivres-en-Laonnois,C - Classée
2018,02190,Chivres-Val,NC - Non classée
2018,02191,Chivy-lès-Étouvelles,NC - Non classée
2018,02192,Chouy,NC - Non classée
2018,02193,Cierges,C - Classée
2018,02194,Cilly,C - Classée
