ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
40,2009,39,180.0,180.0,216.0,204.0,,-0.1666666666666666,,0,0,0,1,0,0,2666.0
41,2009,40,353.0,353.0,347.0,427.0,,0.0172910662824207,,0,0,0,1,0,0,4804.0
42,2009,41,539.0,539.0,525.0,607.0,,0.0266666666666666,,0,0,0,1,0,0,8861.0
1,2010,0,1294.0,1294.0,1246.0,1302.0,1394.0,0.0385232744783306,-0.10616929698708755,0,0,0,1,0,0,17826.0
2,2010,1,6559.0,6559.0,5859.0,6166.0,6240.0,0.1194743130227001,-0.06105769230769231,0,0,0,1,0,0,71682.0
3,2010,2,175.0,175.0,172.0,197.0,234.0,0.0174418604651162,-0.2649572649572649,0,0,0,1,0,0,2002.0
4,2010,3,364.0,364.0,335.0,358.0,389.0,0.0865671641791044,-0.13881748071979438,0,0,0,1,0,0,5184.0
5,2010,4,686.0,686.0,643.0,662.0,640.0,0.0668740279937791,0.004687499999999956,0,0,0,1,0,0,9336.0
6,2010,5,234.0,234.0,184.0,231.0,232.0,0.2717391304347826,-0.2068965517241379,0,0,0,1,0,0,3687.0
7,2010,6,1676.0,1676.0,1664.0,1734.0,1791.0,0.0072115384615384,-0.07091010608598547,0,0,0,1,0,0,24317.0
8,2010,7,8659.0,8659.0,7409.0,7957.0,8746.0,0.168713726548792,-0.1528698833752573,0,0,0,1,0,0,80764.0
9,2010,8,1747.0,1747.0,1639.0,1789.0,1936.0,0.0658938377059182,-0.15340909090909094,0,0,0,1,0,0,19956.0
10,2010,9,1721.0,1721.0,1581.0,1620.0,1623.0,0.0885515496521189,-0.025878003696857665,0,0,0,1,0,0,23438.0
11,2010,10,504.0,504.0,494.0,523.0,543.0,0.020242914979757,-0.09023941068139962,0,0,0,1,0,0,7683.0
12,2010,11,291.0,291.0,277.0,288.0,301.0,0.0505415162454873,-0.07973421926910296,0,0,0,1,0,0,4840.0
13,2010,12,412.0,412.0,404.0,519.0,460.0,0.0198019801980198,-0.12173913043478257,0,0,0,1,0,0,6697.0
14,2010,13,382.0,382.0,362.0,355.0,378.0,0.0552486187845303,-0.042328042328042326,0,0,0,1,0,0,5577.0
15,2010,14,3424.0,3424.0,3160.0,3506.0,3524.0,0.0835443037974683,-0.10329171396140746,0,0,0,1,0,0,42762.0
16,2010,15,3066.0,3066.0,2779.0,2867.0,2924.0,0.1032745591939546,-0.049589603283173744,0,0,0,1,0,0,39588.0
17,2010,16,2661.0,2661.0,2393.0,2562.0,2572.0,0.11199331383201,-0.06959564541213059,0,0,0,1,0,0,28849.0
18,2010,17,525.0,525.0,521.0,462.0,518.0,0.0076775431861804,0.005791505791505891,0,0,0,1,0,0,6774.0
19,2010,18,3121.0,3121.0,2955.0,2847.0,2995.0,0.0561759729272419,-0.013355592654423987,0,0,0,1,0,0,32193.0
20,2010,19,2770.0,2770.0,2611.0,2772.0,2853.0,0.0608962083492914,-0.08482299334034349,0,0,0,1,0,0,33281.0
21,2010,20,1330.0,1330.0,1274.0,1369.0,1329.0,0.0439560439560439,-0.04138449962377733,0,0,0,1,0,0,16079.0
22,2010,21,1853.0,1853.0,1633.0,1821.0,1700.0,0.1347213717085119,-0.03941176470588237,0,0,0,1,0,0,21741.0
23,2010,22,278.0,278.0,286.0,294.0,339.0,-0.0279720279720279,-0.15634218289085544,0,0,0,1,0,0,4353.0
24,2010,23,930.0,930.0,964.0,1063.0,989.0,-0.0352697095435684,-0.025278058645096024,0,0,0,1,0,0,11463.0
25,2010,24,1560.0,1560.0,1347.0,1509.0,1607.0,0.1581291759465478,-0.16179215930304913,0,0,0,1,0,0,18682.0
26,2010,25,304.0,304.0,279.0,326.0,331.0,0.089605734767025,-0.1570996978851964,0,0,0,1,0,0,5071.0
27,2010,26,2540.0,2540.0,2327.0,2579.0,2482.0,0.0915341641598624,-0.062449637389202284,0,0,0,1,0,0,32129.0
28,2010,27,796.0,796.0,738.0,795.0,828.0,0.078590785907859,-0.10869565217391308,0,0,0,1,0,0,10658.0
29,2010,28,302.0,302.0,230.0,246.0,297.0,0.3130434782608696,-0.22558922558922556,0,0,0,1,0,0,4086.0
30,2010,29,937.0,937.0,815.0,923.0,865.0,0.1496932515337423,-0.05780346820809246,0,0,0,1,0,0,12955.0
31,2010,30,1258.0,1258.0,1197.0,1335.0,1370.0,0.0509607351712614,-0.1262773722627737,0,0,0,1,0,0,16317.0
32,2010,31,796.0,796.0,747.0,811.0,852.0,0.0655957161981258,-0.12323943661971826,0,0,0,1,0,0,9464.0
33,2010,32,1049.0,1049.0,1016.0,1012.0,1081.0,0.0324803149606299,-0.0601295097132285,0,0,0,1,0,0,13511.0
34,2010,33,667.0,667.0,564.0,618.0,659.0,0.1826241134751773,-0.14415781487101664,0,0,0,1,0,0,8358.0
35,2010,34,526.0,526.0,526.0,590.0,555.0,0.0,-0.052252252252252274,0,0,0,1,0,0,9573.0
36,2010,35,1123.0,1123.0,1034.0,1138.0,1257.0,0.086073500967118,-0.177406523468576,0,0,0,1,0,0,14023.0
37,2010,36,989.0,989.0,890.0,946.0,1055.0,0.1112359550561797,-0.1563981042654028,0,0,0,1,0,0,12841.0
38,2010,37,2684.0,2684.0,2351.0,2572.0,2571.0,0.1416418545299872,-0.08556981719175416,0,0,0,1,0,0,30613.0
39,2010,38,1373.0,1373.0,1157.0,1417.0,1434.0,0.1866897147796024,-0.1931659693165969,0,0,0,1,0,0,18935.0
40,2010,39,183.0,183.0,180.0,216.0,204.0,0.0166666666666666,-0.11764705882352944,0,0,0,1,0,0,2663.0
41,2010,40,429.0,429.0,353.0,347.0,427.0,0.2152974504249291,-0.1733021077283372,0,0,0,1,0,0,4823.0
42,2010,41,578.0,578.0,539.0,525.0,607.0,0.072356215213358,-0.11202635914332781,0,0,0,1,0,0,8966.0
1,2011,0,1374.0,1374.0,1294.0,1246.0,1302.0,0.061823802163833,-0.006144393241167445,0,0,0,1,0,0,18113.0
2,2011,1,6685.0,6685.0,6559.0,5859.0,6166.0,0.0192102454642476,0.06373662017515414,0,0,0,1,0,0,73476.0
3,2011,2,217.0,217.0,175.0,172.0,197.0,0.24,-0.1116751269035533,0,0,0,1,0,0,2039.0
4,2011,3,394.0,394.0,364.0,335.0,358.0,0.0824175824175824,0.016759776536312776,0,0,0,1,0,0,5265.0
5,2011,4,619.0,619.0,686.0,643.0,662.0,-0.097667638483965,0.03625377643504524,0,0,0,1,0,0,9555.0
6,2011,5,225.0,225.0,234.0,184.0,231.0,-0.0384615384615384,0.01298701298701288,0,0,0,1,0,0,3737.0
7,2011,6,1823.0,1823.0,1676.0,1664.0,1734.0,0.087708830548926,-0.03344867358708192,0,0,0,1,0,0,24792.0
8,2011,7,8849.0,8849.0,8659.0,7409.0,7957.0,0.0219424875851714,0.08822420510242557,0,0,0,1,0,0,82600.0
9,2011,8,1847.0,1847.0,1747.0,1639.0,1789.0,0.0572409845449341,-0.02347680268306318,0,0,0,1,0,0,20015.0
10,2011,9,1838.0,1838.0,1721.0,1581.0,1620.0,0.0679837303893085,0.06234567901234578,0,0,0,1,0,0,23894.0
11,2011,10,517.0,517.0,504.0,494.0,523.0,0.0257936507936507,-0.03632887189292544,0,0,0,1,0,0,7773.0
12,2011,11,322.0,322.0,291.0,277.0,288.0,0.1065292096219931,0.01041666666666674,0,0,0,1,0,0,4916.0
13,2011,12,445.0,445.0,412.0,404.0,519.0,0.0800970873786407,-0.20616570327552985,0,0,0,1,0,0,6776.0
14,2011,13,379.0,379.0,382.0,362.0,355.0,-0.0078534031413612,0.07605633802816891,0,0,0,1,0,0,5589.0
15,2011,14,3568.0,3568.0,3424.0,3160.0,3506.0,0.0420560747663551,-0.02338847689674839,0,0,0,1,0,0,43508.0
