region_id,observation_year,sector_a10,sector_births,country,source_label,region_name,region_level,flag_target_concept,meta_region_system,meta_source_label,mask_sector_births,mask_sector_supported,mask_complete_sector_vector,business_sector_total,sector_share,sector_growth_1y,available_for_forecast_year
1101,2017,OQ,739.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6750.0,0.10948148148148149,0.069464544138929,2018
1101,2017,RU,568.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6750.0,0.08414814814814815,0.02898550724637672,2018
1101,2018,BE,240.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,8381.0,0.02863620093067653,0.07623318385650224,2019
1101,2018,FZ,702.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,8381.0,0.08376088772222885,0.19999999999999996,2019
1101,2018,GI,3014.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,8381.0,0.3596229566877461,0.35035842293906816,2019
1101,2018,JZ,485.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,8381.0,0.057868989380742156,0.0923423423423424,2019
1101,2018,KZ,202.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,8381.0,0.024102135783319413,0.23170731707317072,2019
1101,2018,LZ,284.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,8381.0,0.03388617110130056,0.2188841201716738,2019
1101,2018,MN,2007.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,8381.0,0.2394702302827825,0.2848911651728554,2019
1101,2018,OQ,760.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,8381.0,0.09068130294714234,0.02841677943166432,2019
1101,2018,RU,687.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,8381.0,0.08197112516406156,0.20950704225352124,2019
1101,2019,BE,286.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,9950.0,0.028743718592964825,0.19166666666666665,2020
1101,2019,FZ,792.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,9950.0,0.07959798994974875,0.1282051282051282,2020
1101,2019,GI,3613.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,9950.0,0.36311557788944726,0.19873921698739228,2020
