zone_id,target_year,a10,jobs,jobs_suppressed
CR02,2017,OPQ,4.6,0
CR02,2017,RSU,0.3,0
CR02,2018,A,0.2,0
CR02,2018,BE,3.5,0
CR02,2018,FZ,0.6,0
CR02,2018,GI,4.6,0
CR02,2018,JZ,0.0,0
CR02,2018,KZ,0.2,0
CR02,2018,LZ,0.1,0
CR02,2018,MN,2.2,0
CR02,2018,OPQ,4.1,0
CR02,2018,RSU,0.3,0
CR02,2019,A,0.2,0
CR02,2019,BE,3.5,0
CR02,2019,FZ,0.5,0
CR02,2019,GI,4.7,0
CR02,2019,JZ,0.0,0
CR02,2019,KZ,0.2,0
CR02,2019,LZ,0.1,0
CR02,2019,MN,2.3,0
CR02,2019,OPQ,4.1,0
CR02,2019,RSU,0.3,0
CR02,2020,A,0.2,0
CR02,2020,BE,3.6,0
CR02,2020,FZ,0.6,0
CR02,2020,GI,4.9,0
CR02,2020,JZ,0.0,0
CR02,2020,KZ,0.2,0
CR02,2020,LZ,0.1,0
CR02,2020,MN,1.8,0
CR02,2020,OPQ,4.2,0
CR02,2020,RSU,0.2,0
CR02,2021,A,0.2,0
CR02,2021,BE,3.6,0
CR02,2021,FZ,0.6,0
CR02,2021,GI,5.2,0
CR02,2021,JZ,0.1,0
CR02,2021,KZ,0.2,0
CR02,2021,LZ,0.1,0
CR02,2021,MN,2.1,0
CR02,2021,OPQ,4.6,0
CR02,2021,RSU,0.2,0
CR02,2022,A,0.2,0
CR02,2022,BE,2.8,0
CR02,2022,FZ,0.7,0
CR02,2022,GI,5.1,0
CR02,2022,JZ,0.1,0
CR02,2022,KZ,0.2,0
CR02,2022,LZ,0.1,0
CR02,2022,MN,1.8,0
CR02,2022,OPQ,5.1,0
CR02,2022,RSU,0.3,0
CR02,2023,A,0.2,0
CR02,2023,BE,2.8,0
CR02,2023,FZ,0.7,0
CR02,2023,GI,4.6,0
CR02,2023,JZ,0.1,0
CR02,2023,KZ,0.1,0
CR02,2023,LZ,0.1,0
CR02,2023,MN,2.2,0
CR02,2023,OPQ,4.7,0
CR02,2023,RSU,0.3,0
CR02,2024,A,0.2,0
CR02,2024,BE,2.8,0
CR02,2024,FZ,0.7,0
CR02,2024,GI,4.5,0
CR02,2024,JZ,0.1,0
CR02,2024,KZ,0.1,0
CR02,2024,LZ,0.1,0
CR02,2024,MN,1.9,0
CR02,2024,OPQ,4.5,0
CR02,2024,RSU,0.3,0
CR03,2010,A,1.2,0
CR03,2010,BE,19.3,0
CR03,2010,FZ,7.8,0
CR03,2010,GI,34.1,0
CR03,2010,JZ,7.8,0
CR03,2010,KZ,4.2,0
CR03,2010,LZ,1.5,0
CR03,2010,MN,31.7,0
CR03,2010,OPQ,72.1,0
CR03,2010,RSU,5.3,0
CR03,2011,A,1.2,0
CR03,2011,BE,18.6,0
CR03,2011,FZ,7.1,0
CR03,2011,GI,34.4,0
CR03,2011,JZ,7.8,0
CR03,2011,KZ,4.6,0
CR03,2011,LZ,1.5,0
CR03,2011,MN,30.7,0
CR03,2011,OPQ,73.4,0
CR03,2011,RSU,5.2,0
CR03,2012,A,1.2,0
CR03,2012,BE,18.6,0
CR03,2012,FZ,6.5,0
CR03,2012,GI,35.0,0
CR03,2012,JZ,7.6,0
CR03,2012,KZ,4.1,0
CR03,2012,LZ,1.4,0
CR03,2012,MN,28.1,0
CR03,2012,OPQ,70.5,0
CR03,2012,RSU,4.9,0
CR03,2013,A,1.1,0
CR03,2013,BE,17.8,0
CR03,2013,FZ,6.0,0
CR03,2013,GI,34.3,0
CR03,2013,JZ,7.0,0
CR03,2013,KZ,3.6,0
CR03,2013,LZ,1.4,0
CR03,2013,MN,29.5,0
CR03,2013,OPQ,71.8,0
