zone_id,target_year,stock
CR14,2023,49905.0
CR14,2024,52395.0
CR14,2025,53125.0
CR15,2015,65045.0
CR15,2016,67970.0
CR15,2017,70515.0
CR15,2018,74095.0
CR15,2019,77830.0
CR15,2020,81770.0
CR15,2021,84365.0
CR15,2022,91275.0
CR15,2023,94645.0
CR15,2024,100805.0
CR15,2025,102405.0
CR16,2015,26420.0
CR16,2016,27280.0
CR16,2017,27930.0
CR16,2018,28875.0
CR16,2019,30030.0
CR16,2020,31345.0
CR16,2021,32485.0
CR16,2022,34750.0
CR16,2023,35805.0
CR16,2024,37745.0
CR16,2025,38310.0
CR17,2015,136440.0
CR17,2016,142805.0
CR17,2017,147490.0
CR17,2018,154610.0
CR17,2019,166225.0
CR17,2020,175510.0
CR17,2021,180460.0
CR17,2022,194320.0
CR17,2023,202020.0
CR17,2024,214545.0
CR17,2025,217950.0
CR18,2015,35420.0
CR18,2016,36685.0
CR18,2017,37515.0
CR18,2018,39035.0
CR18,2019,40455.0
CR18,2020,42330.0
CR18,2021,43795.0
CR18,2022,46990.0
CR18,2023,48420.0
CR18,2024,51105.0
CR18,2025,51955.0
CR19,2015,23220.0
CR19,2016,24195.0
CR19,2017,24955.0
CR19,2018,26200.0
CR19,2019,27765.0
CR19,2020,29190.0
CR19,2021,30515.0
CR19,2022,32850.0
CR19,2023,33750.0
CR19,2024,35680.0
CR19,2025,36215.0
CR20,2015,16775.0
CR20,2016,17480.0
CR20,2017,18005.0
CR20,2018,18870.0
CR20,2019,19970.0
CR20,2020,21125.0
CR20,2021,21880.0
CR20,2022,23540.0
CR20,2023,24410.0
CR20,2024,25880.0
CR20,2025,26375.0
CR21,2015,26195.0
CR21,2016,27690.0
CR21,2017,28785.0
CR21,2018,30325.0
CR21,2019,31270.0
CR21,2020,33090.0
CR21,2021,34070.0
CR21,2022,36655.0
CR21,2023,37880.0
CR21,2024,40230.0
CR21,2025,40895.0
CR22,2015,14380.0
CR22,2016,14895.0
CR22,2017,15560.0
CR22,2018,16465.0
CR22,2019,17460.0
CR22,2020,18610.0
CR22,2021,19500.0
CR22,2022,21270.0
CR22,2023,22730.0
CR22,2024,24555.0
CR22,2025,25355.0
CR23,2015,171745.0
CR23,2016,181705.0
CR23,2017,190210.0
CR23,2018,202285.0
CR23,2019,214980.0
CR23,2020,228695.0
CR23,2021,235685.0
CR23,2022,255945.0
CR23,2023,268420.0
CR23,2024,287570.0
CR23,2025,292415.0
CR24,2015,32400.0
CR24,2016,33780.0
CR24,2017,34725.0
CR24,2018,36270.0
CR24,2019,37855.0
CR24,2020,39595.0
CR24,2021,40715.0
CR24,2022,43970.0
CR24,2023,41755.0
CR24,2024,43985.0
CR24,2025,44600.0
CR25,2015,37690.0
CR25,2016,39445.0
CR25,2017,40820.0
CR25,2018,42870.0
CR25,2019,45050.0
CR25,2020,47520.0
CR25,2021,49110.0
CR25,2022,52765.0
CR25,2023,54500.0
CR25,2024,57660.0
CR25,2025,58670.0
CR26,2015,79460.0
CR26,2016,83475.0
CR26,2017,87000.0
CR26,2018,92970.0
CR26,2019,100265.0
CR26,2020,108210.0
CR26,2021,113825.0
CR26,2022,125485.0
CR26,2023,133195.0
CR26,2024,144260.0
CR26,2025,146665.0
CR27,2015,22600.0
CR27,2016,23515.0
CR27,2017,24030.0
CR27,2018,25110.0
CR27,2019,26420.0
CR27,2020,27860.0
CR27,2021,28905.0
CR27,2022,31235.0
CR27,2023,32340.0
CR27,2024,34555.0
