ID,BedrijfstakkenBranchesSBI2008,RegioS,Perioden,OprichtingenVanVestigingen_1
648,T001081,CR11  ,2009JJ00,
649,T001081,CR11  ,2010JJ00,
650,T001081,CR11  ,2011JJ00,
651,T001081,CR11  ,2012JJ00,
652,T001081,CR11  ,2013JJ00,
653,T001081,CR11  ,2014JJ00,
654,T001081,CR11  ,2015JJ00,1240.0
655,T001081,CR11  ,2016JJ00,1230.0
656,T001081,CR11  ,2017JJ00,1260.0
657,T001081,CR11  ,2018JJ00,1295.0
658,T001081,CR11  ,2019JJ00,1465.0
659,T001081,CR11  ,2020JJ00,1500.0
660,T001081,CR11  ,2021JJ00,1685.0
661,T001081,CR11  ,2022JJ00,1780.0
662,T001081,CR11  ,2023JJ00,1930.0
663,T001081,CR11  ,2024JJ00,1640.0
664,T001081,CR11  ,2025JJ00,1545.0
665,T001081,CR12  ,2007JJ00,
666,T001081,CR12  ,2008JJ00,
667,T001081,CR12  ,2009JJ00,
668,T001081,CR12  ,2010JJ00,
669,T001081,CR12  ,2011JJ00,
670,T001081,CR12  ,2012JJ00,
671,T001081,CR12  ,2013JJ00,
672,T001081,CR12  ,2014JJ00,
673,T001081,CR12  ,2015JJ00,5090.0
674,T001081,CR12  ,2016JJ00,4850.0
675,T001081,CR12  ,2017JJ00,4720.0
676,T001081,CR12  ,2018JJ00,4890.0
677,T001081,CR12  ,2019JJ00,5465.0
678,T001081,CR12  ,2020JJ00,5585.0
679,T001081,CR12  ,2021JJ00,6440.0
680,T001081,CR12  ,2022JJ00,6250.0
681,T001081,CR12  ,2023JJ00,7055.0
682,T001081,CR12  ,2024JJ00,6135.0
683,T001081,CR12  ,2025JJ00,5650.0
684,T001081,CR13  ,2007JJ00,
685,T001081,CR13  ,2008JJ00,
686,T001081,CR13  ,2009JJ00,
687,T001081,CR13  ,2010JJ00,
688,T001081,CR13  ,2011JJ00,
689,T001081,CR13  ,2012JJ00,
690,T001081,CR13  ,2013JJ00,
691,T001081,CR13  ,2014JJ00,
692,T001081,CR13  ,2015JJ00,5905.0
693,T001081,CR13  ,2016JJ00,5775.0
694,T001081,CR13  ,2017JJ00,5690.0
695,T001081,CR13  ,2018JJ00,6290.0
696,T001081,CR13  ,2019JJ00,6955.0
697,T001081,CR13  ,2020JJ00,7145.0
698,T001081,CR13  ,2021JJ00,8275.0
699,T001081,CR13  ,2022JJ00,8125.0
700,T001081,CR13  ,2023JJ00,8635.0
701,T001081,CR13  ,2024JJ00,7940.0
702,T001081,CR13  ,2025JJ00,6640.0
703,T001081,CR14  ,2007JJ00,
704,T001081,CR14  ,2008JJ00,
705,T001081,CR14  ,2009JJ00,
706,T001081,CR14  ,2010JJ00,
707,T001081,CR14  ,2011JJ00,
708,T001081,CR14  ,2012JJ00,
709,T001081,CR14  ,2013JJ00,
710,T001081,CR14  ,2014JJ00,
711,T001081,CR14  ,2015JJ00,3110.0
712,T001081,CR14  ,2016JJ00,3105.0
713,T001081,CR14  ,2017JJ00,2790.0
714,T001081,CR14  ,2018JJ00,2990.0
715,T001081,CR14  ,2019JJ00,3235.0
716,T001081,CR14  ,2020JJ00,3450.0
717,T001081,CR14  ,2021JJ00,3905.0
718,T001081,CR14  ,2022JJ00,3720.0
719,T001081,CR14  ,2023JJ00,4005.0
720,T001081,CR14  ,2024JJ00,3630.0
721,T001081,CR14  ,2025JJ00,3145.0
722,T001081,CR15  ,2007JJ00,
723,T001081,CR15  ,2008JJ00,
724,T001081,CR15  ,2009JJ00,
725,T001081,CR15  ,2010JJ00,
726,T001081,CR15  ,2011JJ00,
727,T001081,CR15  ,2012JJ00,
728,T001081,CR15  ,2013JJ00,
729,T001081,CR15  ,2014JJ00,
730,T001081,CR15  ,2015JJ00,6680.0
731,T001081,CR15  ,2016JJ00,6970.0
732,T001081,CR15  ,2017JJ00,7025.0
733,T001081,CR15  ,2018JJ00,7605.0
734,T001081,CR15  ,2019JJ00,8510.0
735,T001081,CR15  ,2020JJ00,8435.0
736,T001081,CR15  ,2021JJ00,9375.0
737,T001081,CR15  ,2022JJ00,9740.0
738,T001081,CR15  ,2023JJ00,10540.0
739,T001081,CR15  ,2024JJ00,9110.0
740,T001081,CR15  ,2025JJ00,7785.0
741,T001081,CR16  ,2007JJ00,
742,T001081,CR16  ,2008JJ00,
743,T001081,CR16  ,2009JJ00,
744,T001081,CR16  ,2010JJ00,
745,T001081,CR16  ,2011JJ00,
746,T001081,CR16  ,2012JJ00,
747,T001081,CR16  ,2013JJ00,
748,T001081,CR16  ,2014JJ00,
749,T001081,CR16  ,2015JJ00,2120.0
750,T001081,CR16  ,2016JJ00,2110.0
751,T001081,CR16  ,2017JJ00,2100.0
752,T001081,CR16  ,2018JJ00,2340.0
753,T001081,CR16  ,2019JJ00,2590.0
754,T001081,CR16  ,2020JJ00,2685.0
755,T001081,CR16  ,2021JJ00,2870.0
756,T001081,CR16  ,2022JJ00,2975.0
757,T001081,CR16  ,2023JJ00,3160.0
758,T001081,CR16  ,2024JJ00,2790.0
759,T001081,CR16  ,2025JJ00,2460.0
760,T001081,CR17  ,2007JJ00,
761,T001081,CR17  ,2008JJ00,
762,T001081,CR17  ,2009JJ00,
763,T001081,CR17  ,2010JJ00,
764,T001081,CR17  ,2011JJ00,
765,T001081,CR17  ,2012JJ00,
766,T001081,CR17  ,2013JJ00,
767,T001081,CR17  ,2014JJ00,
768,T001081,CR17  ,2015JJ00,14625.0
769,T001081,CR17  ,2016JJ00,14525.0
770,T001081,CR17  ,2017JJ00,14780.0
771,T001081,CR17  ,2018JJ00,16090.0
772,T001081,CR17  ,2019JJ00,18425.0
773,T001081,CR17  ,2020JJ00,17745.0
774,T001081,CR17  ,2021JJ00,19985.0
775,T001081,CR17  ,2022JJ00,20895.0
776,T001081,CR17  ,2023JJ00,21710.0
777,T001081,CR17  ,2024JJ00,18975.0
778,T001081,CR17  ,2025JJ00,16575.0
779,T001081,CR18  ,2007JJ00,
780,T001081,CR18  ,2008JJ00,
781,T001081,CR18  ,2009JJ00,
782,T001081,CR18  ,2010JJ00,
783,T001081,CR18  ,2011JJ00,
784,T001081,CR18  ,2012JJ00,
785,T001081,CR18  ,2013JJ00,
786,T001081,CR18  ,2014JJ00,
787,T001081,CR18  ,2015JJ00,3030.0
788,T001081,CR18  ,2016JJ00,2985.0
789,T001081,CR18  ,2017JJ00,3225.0
790,T001081,CR18  ,2018JJ00,3330.0
791,T001081,CR18  ,2019JJ00,3880.0
792,T001081,CR18  ,2020JJ00,3805.0
793,T001081,CR18  ,2021JJ00,4065.0
794,T001081,CR18  ,2022JJ00,4225.0
795,T001081,CR18  ,2023JJ00,4510.0
796,T001081,CR18  ,2024JJ00,4090.0
797,T001081,CR18  ,2025JJ00,3505.0
798,T001081,CR19  ,2007JJ00,
799,T001081,CR19  ,2008JJ00,
800,T001081,CR19  ,2009JJ00,
801,T001081,CR19  ,2010JJ00,
802,T001081,CR19  ,2011JJ00,
803,T001081,CR19  ,2012JJ00,
804,T001081,CR19  ,2013JJ00,
805,T001081,CR19  ,2014JJ00,
806,T001081,CR19  ,2015JJ00,2275.0
807,T001081,CR19  ,2016JJ00,2305.0
808,T001081,CR19  ,2017JJ00,2350.0
809,T001081,CR19  ,2018JJ00,2640.0
810,T001081,CR19  ,2019JJ00,2860.0
811,T001081,CR19  ,2020JJ00,3105.0
812,T001081,CR19  ,2021JJ00,2955.0
813,T001081,CR19  ,2022JJ00,3095.0
814,T001081,CR19  ,2023JJ00,3350.0
815,T001081,CR19  ,2024JJ00,2995.0
816,T001081,CR19  ,2025JJ00,2710.0
817,T001081,CR20  ,2007JJ00,
818,T001081,CR20  ,2008JJ00,
819,T001081,CR20  ,2009JJ00,
820,T001081,CR20  ,2010JJ00,
821,T001081,CR20  ,2011JJ00,
822,T001081,CR20  ,2012JJ00,
823,T001081,CR20  ,2013JJ00,
824,T001081,CR20  ,2014JJ00,
825,T001081,CR20  ,2015JJ00,1630.0
826,T001081,CR20  ,2016JJ00,1705.0
827,T001081,CR20  ,2017JJ00,1725.0
828,T001081,CR20  ,2018JJ00,1910.0
829,T001081,CR20  ,2019JJ00,2165.0
830,T001081,CR20  ,2020JJ00,2200.0
831,T001081,CR20  ,2021JJ00,2310.0
832,T001081,CR20  ,2022JJ00,2480.0
833,T001081,CR20  ,2023JJ00,2610.0
834,T001081,CR20  ,2024JJ00,2300.0
835,T001081,CR20  ,2025JJ00,2005.0
836,T001081,CR21  ,2007JJ00,
837,T001081,CR21  ,2008JJ00,
838,T001081,CR21  ,2009JJ00,
839,T001081,CR21  ,2010JJ00,
840,T001081,CR21  ,2011JJ00,
841,T001081,CR21  ,2012JJ00,
842,T001081,CR21  ,2013JJ00,
843,T001081,CR21  ,2014JJ00,
844,T001081,CR21  ,2015JJ00,2945.0
845,T001081,CR21  ,2016JJ00,3010.0
846,T001081,CR21  ,2017JJ00,2960.0
847,T001081,CR21  ,2018JJ00,3325.0
848,T001081,CR21  ,2019JJ00,3680.0
849,T001081,CR21  ,2020JJ00,3370.0
850,T001081,CR21  ,2021JJ00,3670.0
851,T001081,CR21  ,2022JJ00,3890.0
852,T001081,CR21  ,2023JJ00,4030.0
853,T001081,CR21  ,2024JJ00,3680.0
854,T001081,CR21  ,2025JJ00,3200.0
855,T001081,CR22  ,2007JJ00,
856,T001081,CR22  ,2008JJ00,
857,T001081,CR22  ,2009JJ00,
858,T001081,CR22  ,2010JJ00,
859,T001081,CR22  ,2011JJ00,
860,T001081,CR22  ,2012JJ00,
861,T001081,CR22  ,2013JJ00,
