ID,BedrijfstakkenBranchesSBI2008,RegioS,Perioden,BanenVanWerknemersInDecember_1
481,T001081,CR12  ,2011JJ00,282.2
482,T001081,CR12  ,2012JJ00,277.5
483,T001081,CR12  ,2013JJ00,271.2
484,T001081,CR12  ,2014JJ00,269.1
485,T001081,CR12  ,2015JJ00,272.5
486,T001081,CR12  ,2016JJ00,277.9
487,T001081,CR12  ,2017JJ00,286.4
488,T001081,CR12  ,2018JJ00,295.9
489,T001081,CR12  ,2019JJ00,299.7
490,T001081,CR12  ,2020JJ00,296.9
491,T001081,CR12  ,2021JJ00,309.7
492,T001081,CR12  ,2022JJ00,319.0
493,T001081,CR12  ,2023JJ00,319.7
494,T001081,CR12  ,2024JJ00,320.4
495,T001081,CR13  ,2010JJ00,316.1
496,T001081,CR13  ,2011JJ00,319.5
497,T001081,CR13  ,2012JJ00,314.1
498,T001081,CR13  ,2013JJ00,309.4
499,T001081,CR13  ,2014JJ00,309.9
500,T001081,CR13  ,2015JJ00,311.1
501,T001081,CR13  ,2016JJ00,318.1
502,T001081,CR13  ,2017JJ00,326.0
503,T001081,CR13  ,2018JJ00,332.8
504,T001081,CR13  ,2019JJ00,343.9
505,T001081,CR13  ,2020JJ00,341.2
506,T001081,CR13  ,2021JJ00,349.2
507,T001081,CR13  ,2022JJ00,359.5
508,T001081,CR13  ,2023JJ00,364.5
509,T001081,CR13  ,2024JJ00,368.2
510,T001081,CR14  ,2010JJ00,163.4
511,T001081,CR14  ,2011JJ00,165.2
512,T001081,CR14  ,2012JJ00,163.2
513,T001081,CR14  ,2013JJ00,156.8
514,T001081,CR14  ,2014JJ00,159.2
515,T001081,CR14  ,2015JJ00,162.7
516,T001081,CR14  ,2016JJ00,164.8
517,T001081,CR14  ,2017JJ00,163.4
518,T001081,CR14  ,2018JJ00,169.1
519,T001081,CR14  ,2019JJ00,171.6
520,T001081,CR14  ,2020JJ00,169.0
521,T001081,CR14  ,2021JJ00,173.9
522,T001081,CR14  ,2022JJ00,178.1
523,T001081,CR14  ,2023JJ00,177.8
524,T001081,CR14  ,2024JJ00,176.1
525,T001081,CR15  ,2010JJ00,328.3
526,T001081,CR15  ,2011JJ00,332.1
527,T001081,CR15  ,2012JJ00,325.4
528,T001081,CR15  ,2013JJ00,314.2
529,T001081,CR15  ,2014JJ00,315.6
530,T001081,CR15  ,2015JJ00,322.8
531,T001081,CR15  ,2016JJ00,327.2
