country,sector,scenario,top_k,m1_obs_mean,m1_obs_median,m1_obs_min,m1_n_pairs,m2_obs_mean,m2_n_pairs,m1_null_n1_mean,m1_null_n2_mean,m2_null_n1_mean,m2_null_n2_mean,p_m1_n1,p_m1_n2,p_m2_n1,p_m2_n2,q_m1_n1,q_m1_n2,q_m2_n1,q_m2_n2,sector_signal_pass,sector_stability_pass
NL,JZ,include_observation_2020,5,0.4100817348294469,0.4149220817406645,0.33014354066985646,14,0.1705765985066066,105,0.39533601517810174,0.39380352538250374,0.15593579110248176,0.16091656502559176,0.115,0.105,0.015,0.06,0.17357142857142857,0.105,0.027000000000000003,0.07714285714285715,False,False
NL,KZ,include_observation_2020,5,0.4106369259141506,0.4104774535809018,0.2840909090909091,14,0.17039551191822783,105,0.4019790550446712,0.3885581358366765,0.15734234329263216,0.16073213147554724,0.215,0.035,0.01,0.07,0.241875,0.05250000000000001,0.0225,0.07875000000000001,False,False
NL,LZ,include_observation_2020,5,0.4127039828123949,0.40231488278764743,0.3161290322580645,14,0.15141531431600247,105,0.3786826564404704,0.3825853253544325,0.14456496146831296,0.1564311879768344,0.01,0.02,0.125,0.795,0.09,0.045,0.125,0.795,False,False
NL,MN,include_observation_2020,5,0.409973680595593,0.40504978662873403,0.31527093596059114,14,0.1753933392770398,105,0.39448746940945556,0.38763738351347105,0.15612610959578874,0.16083418733132443,0.115,0.035,0.005,0.01,0.17357142857142857,0.05250000000000001,0.0225,0.03375,True,False
NL,OQ,include_observation_2020,5,0.42687190549468906,0.42141476613838424,0.39487179487179486,6,0.2529299574071358,21,0.40586062742635415,0.4026702518304714,0.23251571148176717,0.2336129382808969,0.115,0.095,0.055,0.06,0.17357142857142857,0.105,0.061875,0.07714285714285715,False,False
NL,RU,include_observation_2020,5,0.4001572653495545,0.4094337865524306,0.319047619047619,14,0.17054349490897444,105,0.3963897391685265,0.3848691001415005,0.15590618499235553,0.1599644775609558,0.365,0.085,0.01,0.015,0.365,0.105,0.0225,0.03375,True,False
PT,BE,include_observation_2020,5,0.5153290470212711,0.5714285714285714,0.29457364341085274,12,0.26096726592557085,78,0.4801408595959803,0.455612910395818,0.23655391321243055,0.23730141132795862,0.045,0.005,0.02,0.01,0.18,0.013333333333333334,0.032,0.02666666666666667,True,False
PT,FZ,include_observation_2020,5,0.4918295683634639,0.5000756372437789,0.36885245901639346,12,0.2665283370887606,78,0.48039979273072353,0.4690260244670398,0.23699345012720788,0.2488364439666701,0.26,0.095,0.005,0.05,0.5133333333333333,0.19,0.013333333333333334,0.08,False,False
PT,GI,include_observation_2020,5,0.4636854189421192,0.44883437245866087,0.3458646616541353,12,0.2671827015038576,78,0.478124712437176,0.45174249338747924,0.2360187324428753,0.24071956799493976,0.805,0.235,0.005,0.02,0.805,0.3133333333333333,0.013333333333333334,0.04,True,False
PT,JZ,include_observation_2020,5,0.526015554597577,0.5384615384615385,0.4230769230769231,12,0.2777306937284371,78,0.4812734100899553,0.4880821166837933,0.23593063799144642,0.24804916925002596,0.005,0.005,0.005,0.005,0.04,0.013333333333333334,0.013333333333333334,0.02666666666666667,True,False
PT,LZ,include_observation_2020,5,0.4837821419410823,0.48626349121398627,0.35537190082644626,12,0.26228321805462,78,0.47908329218665296,0.47435535421454667,0.2364263231879236,0.242129859944664,0.385,0.305,0.02,0.01,0.5133333333333333,0.3485714285714286,0.032,0.02666666666666667,True,False
PT,MN,include_observation_2020,5,0.4880739807045407,0.48684109272797227,0.37398373983739835,12,0.25956200471712004,78,0.4815492043099842,0.4726204182915721,0.23700262249063514,0.2480526820497168,0.335,0.165,0.03,0.095,0.5133333333333333,0.264,0.03428571428571429,0.12666666666666668,False,False
PT,OQ,include_observation_2020,5,0.4953760658982958,0.48897581792318634,0.36585365853658536,12,0.24885790741838823,78,0.4801568171906034,0.45549441575122973,0.23619646425777402,0.2428971066028562,0.195,0.005,0.115,0.235,0.5133333333333333,0.013333333333333334,0.115,0.235,False,False
PT,RU,include_observation_2020,5,0.4800284638685326,0.4652173913043478,0.41732283464566927,12,0.255344786982478,78,0.4796845050682525,0.4766137122659482,0.23670146667951028,0.2490524955525717,0.45,0.405,0.03,0.215,0.5142857142857143,0.405,0.03428571428571429,0.235,False,False
