source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04664067,0.0,0.0,0.0,0.02084583,0.01739652,0.84268147,0.01679664,0.015146971,0.01859628,0.0,0.0,0.012597479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00929814
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014010508,0.0,0.0,0.0,0.1943958,0.0,0.0,0.0,0.0,0.0,0.25481611,0.4702277,0.004378284,0.009632224,0.0,0.0,0.009632224,0.0,0.0,0.0,0.0,0.0,0.0,0.004378284,0.0,0.0,0.0,0.038528897
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026623072,0.0,0.0,0.0046707145,0.018215789,0.0,0.15506773,0.0,0.59177953,0.1293788,0.016347501,0.027557217,0.030359644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030593727,0.0,0.0,0.0,0.0,0.0,0.07207674,0.0,0.04096448,0.6492092,0.07985481,0.01633394,0.10085559,0.006222453,0.0,0.0,0.003889033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017826824,0.0,0.0,0.0,0.0,0.0,0.03310696,0.0,0.016129032,0.24957554,0.5348047,0.0076400675,0.12818336,0.0076400675,0.0,0.0,0.0,0.005093379,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10250299,0.0,0.0,0.0,0.0,0.0,0.09058403,0.0,0.059594758,0.07926103,0.010131109,0.5047676,0.13289629,0.016090585,0.0,0.0,0.0,0.0041716327,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024107013,0.0,0.0,0.0,0.0,0.0,0.033367634,0.0,0.0072027054,0.06952815,0.037483465,0.019844187,0.75584304,0.03733647,0.0,0.0,0.015287373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015100671,0.05257271,0.0,0.0,0.0,0.0,0.0,0.015100671,0.0,0.0,0.021812081,0.0,0.014541387,0.21476512,0.614094,0.0,0.0,0.034675613,0.017337807,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004705882,0.0,0.0,0.0,0.0,0.0,0.007058824,0.0,0.0,0.007058824,0.0,0.0,0.016470587,0.007058824,0.8494117,0.08470588,0.018823529,0.0,0.0,0.004705882,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076452596,0.0,0.0,0.0,0.0,0.0,0.0091743115,0.0,0.0,0.0076452596,0.0,0.0,0.05504587,0.0091743115,0.027522935,0.8035168,0.07415902,0.0061162077,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018469656,0.0,0.0,0.0,0.0,0.0,0.015171503,0.0,0.0,0.0,0.0,0.0,0.060356196,0.028364116,0.0,0.014841688,0.7592348,0.071899734,0.015831135,0.015831135,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011679421,0.027788967,0.0,0.0,0.0,0.0,0.0,0.0120821595,0.0,0.0,0.0,0.0,0.0,0.01812324,0.024164319,0.0,0.0,0.09907371,0.67217076,0.077728555,0.057188887,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047212917,0.020712763,0.030459946,0.0,0.0,0.0,0.0,0.0,0.01705757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010660982,0.054827902,0.70240635,0.09594883,0.020712763,0.0,0.0,0.0
