source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
21,0.0,0.0,0.0011933175,0.0011933175,0.0,0.0,0.0,0.0,0.0,0.0011933175,0.0,0.0011933175,0.002386635,0.0,0.002386635,0.0011933175,0.020286398,0.011933175,0.021479715,0.04176611,0.020286398,0.39379478,0.4307876,0.008353222,0.0059665875,0.00954654,0.0011933175,0.002386635,0.007159905,0.0011933175,0.0,0.0,0.0011933175,0.002386635,0.0011933175,0.002386635,0.0,0.0,0.0,0.0059665875
22,0.0,0.00014214641,0.0014214641,0.00056858564,0.00028429282,0.00028429282,0.00014214641,0.00014214641,0.00042643925,0.0009950248,0.00028429282,0.0009950248,0.0032693674,0.00056858564,0.003127221,0.0009950248,0.044207536,0.0063965884,0.0056858566,0.0063965884,0.019758351,0.016488984,0.7987207,0.015920397,0.014356788,0.017626155,0.0027007817,0.003980099,0.011940298,0.001705757,0.00014214641,0.00028429282,0.0015636105,0.0028429283,0.0022743426,0.0032693674,0.00028429282,0.00014214641,0.0008528785,0.008813078
23,0.0,0.0,0.00083752087,0.00083752087,0.0,0.0,0.0,0.0,0.0,0.0016750417,0.00083752087,0.0025125628,0.013400334,0.00083752087,0.0041876044,0.0025125628,0.18592964,0.0016750417,0.0016750417,0.0025125628,0.0041876044,0.0041876044,0.24371858,0.44974872,0.0041876044,0.0092127295,0.00083752087,0.0033500835,0.0092127295,0.0025125628,0.0,0.0,0.0016750417,0.0025125628,0.0033500835,0.0041876044,0.0,0.0,0.00083752087,0.036850918
24,0.0,0.0,0.00045187524,0.00045187524,0.0,0.0,0.0,0.0,0.00045187524,0.00045187524,0.00045187524,0.0009037505,0.001807501,0.00045187524,0.0022593762,0.0009037505,0.025756888,0.0009037505,0.0013556258,0.0045187525,0.017623136,0.001807501,0.15002258,0.003615002,0.5725259,0.12516944,0.015815634,0.02666064,0.029371891,0.0031631268,0.0,0.0009037505,0.0027112516,0.0027112516,0.001807501,0.0022593762,0.0,0.0,0.00045187524,0.0022593762
25,0.0,0.0,0.0005036515,0.0005036515,0.0,0.00025182575,0.0,0.0,0.0005036515,0.0005036515,0.00025182575,0.001007303,0.002014606,0.00025182575,0.0022664317,0.001007303,0.02971544,0.0005036515,0.0005036515,0.001007303,0.0027700833,0.0007554773,0.070007555,0.0027700833,0.03978847,0.63057166,0.07756233,0.015865022,0.09796022,0.0060438183,0.00025182575,0.0005036515,0.0037773864,0.0032737346,0.002014606,0.0025182576,0.00025182575,0.00025182575,0.001007303,0.0012591288
26,0.0,0.0,0.00082372327,0.0,0.0,0.0,0.0,0.0,0.00082372327,0.0,0.0,0.00082372327,0.00247117,0.00082372327,0.00247117,0.00082372327,0.017298188,0.00082372327,0.00082372327,0.00082372327,0.0016474465,0.00082372327,0.03212521,0.0016474465,0.015650742,0.24217464,0.51894563,0.0074135093,0.12438222,0.0074135093,0.0,0.00082372327,0.00494234,0.00494234,0.00247117,0.004118616,0.0,0.0,0.00082372327,0.00082372327
27,0.0,0.0,0.00057471264,0.00057471264,0.0,0.0,0.0,0.00057471264,0.00057471264,0.00057471264,0.00057471264,0.0011494253,0.003448276,0.00057471264,0.0022988506,0.0022988506,0.09885058,0.00057471264,0.00057471264,0.0011494253,0.0028735632,0.00057471264,0.08735632,0.003448276,0.057471264,0.07643678,0.009770115,0.4867816,0.12816091,0.015517241,0.0,0.00057471264,0.003448276,0.0040229885,0.0028735632,0.0028735632,0.0,0.00057471264,0.00057471264,0.0022988506
28,0.0,0.00014251104,0.00042753314,0.00028502208,0.00014251104,0.00014251104,0.00014251104,0.00014251104,0.00028502208,0.0007125552,0.00014251104,0.0009975773,0.0019951547,0.00028502208,0.0021376656,0.0018526434,0.02337181,0.00042753314,0.00042753314,0.00057004415,0.0011400883,0.00057004415,0.032350007,0.0018526434,0.0069830413,0.06740772,0.036340315,0.01923899,0.7327918,0.036197804,0.00028502208,0.003277754,0.014821148,0.0044178423,0.0025651986,0.0028502208,0.00028502208,0.00028502208,0.0007125552,0.0009975773
29,0.0,0.0,0.0,0.00053908356,0.0,0.0,0.0,0.0,0.0,0.00053908356,0.0,0.0010781671,0.0026954177,0.00053908356,0.0026954177,0.014555256,0.050673854,0.00053908356,0.00053908356,0.00053908356,0.0010781671,0.00053908356,0.014555256,0.0016172507,0.0032345015,0.021024259,0.006469003,0.014016172,0.2070081,0.59191376,0.00053908356,0.0016172507,0.033423178,0.016711589,0.0059299194,0.0037735847,0.0,0.0,0.00053908356,0.0010781671
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002309469,0.0,0.002309469,0.0,0.004618938,0.0,0.0,0.0,0.0,0.0,0.0069284076,0.0,0.0,0.0069284076,0.002309469,0.002309469,0.016166283,0.0069284076,0.8337183,0.08314089,0.018475752,0.004618938,0.004618938,0.004618938,0.0,0.0,0.0,0.0
