source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
20,0.024868926,0.024168635,0.025309553,0.025495762,0.024873478,0.02526333,0.025502482,0.025068427,0.025144398,0.025356164,0.025292607,0.02508339,0.025477769,0.024678344,0.025567178,0.02446688,0.025455633,0.025435925,0.025602749,0.023976795,0.02576448,0.024778994,0.02373216,0.0250085,0.025660371,0.025205892,0.025024049,0.02528048,0.025299184,0.024502119,0.02358342,0.025303658,0.025080986,0.024825772,0.024805654,0.02377629,0.024739394,0.024929492,0.025463598,0.025147099
21,0.02457862,0.025326008,0.023632413,0.02470629,0.02545583,0.025250055,0.024205461,0.025275553,0.024678122,0.025276735,0.025181552,0.025434107,0.025234228,0.025333317,0.024643725,0.025530305,0.024612946,0.024974851,0.025219373,0.025148943,0.024716131,0.025699118,0.023834525,0.024270266,0.025015762,0.023059491,0.024515757,0.025518412,0.025262492,0.025420532,0.025109863,0.02536035,0.025516417,0.025253342,0.025531366,0.02465327,0.025493706,0.025509005,0.025065415,0.02549633
22,0.023035416,0.023907546,0.023842782,0.024333162,0.02430159,0.024835495,0.023733953,0.024686044,0.02547166,0.024796572,0.025505338,0.025116134,0.025192821,0.024084574,0.024993066,0.025977239,0.0260398,0.023887945,0.024942918,0.023646828,0.025039392,0.025211355,0.027183658,0.02577099,0.02493524,0.024237096,0.026156398,0.025538081,0.02627864,0.025801565,0.023290597,0.024354113,0.025806244,0.026289545,0.025340425,0.024994772,0.02560827,0.024540732,0.025260782,0.026031304
23,0.024292067,0.02409236,0.024799462,0.025024088,0.024726992,0.025028536,0.024851466,0.024809046,0.024897708,0.025134847,0.025470147,0.02512847,0.025368808,0.02452204,0.025207696,0.02486602,0.025976116,0.02495255,0.025490532,0.02395195,0.025629325,0.024936026,0.025031917,0.026404072,0.025398312,0.024773562,0.025200728,0.025532393,0.02551987,0.024754608,0.023599561,0.025037793,0.02521269,0.024966804,0.025082603,0.024086822,0.024812642,0.024826331,0.025250403,0.025352657
24,0.025054546,0.024500731,0.025104646,0.025446888,0.025014063,0.025349244,0.02532521,0.025225587,0.02517305,0.025405306,0.025290748,0.02521194,0.025442654,0.02492439,0.025430974,0.024547024,0.025149716,0.025370074,0.02545669,0.024348969,0.025419725,0.02484419,0.023411809,0.024550665,0.025522858,0.024775127,0.02489544,0.025173431,0.025149848,0.024657734,0.024020173,0.02532779,0.025117846,0.024817534,0.024964985,0.024156459,0.024842761,0.025087694,0.025435016,0.025056425
25,0.025042925,0.02326292,0.026522478,0.02602522,0.024284115,0.025333066,0.026253663,0.025033828,0.025828607,0.025436342,0.025492083,0.02493929,0.025687391,0.0241452,0.02626803,0.023825895,0.026022479,0.025477495,0.025603702,0.023131212,0.026161158,0.023994286,0.023842348,0.025089609,0.025957502,0.026740918,0.025730127,0.024958624,0.025355607,0.024202127,0.022439979,0.02503116,0.024826547,0.024736723,0.024411555,0.023659036,0.024221068,0.02441541,0.025794318,0.024815945
26,0.024303928,0.024052586,0.024963874,0.025067113,0.02448194,0.025219822,0.024746297,0.02511074,0.025710415,0.025191557,0.025538895,0.025201594,0.025359353,0.024439177,0.025493674,0.02504455,0.025467481,0.024577692,0.024999395,0.023854187,0.025154945,0.024706671,0.024920525,0.024718912,0.025262577,0.024920272,0.025899248,0.02508161,0.025621293,0.025247147,0.023420036,0.024697894,0.025406502,0.025524149,0.025066547,0.024829762,0.025134254,0.024683159,0.02550298,0.025377268
27,0.024541505,0.024750086,0.024238985,0.024972651,0.025129562,0.025187887,0.024649797,0.025112487,0.024832712,0.025299909,0.025224326,0.025310995,0.025373904,0.024968626,0.024954006,0.025234386,0.025084909,0.025141772,0.025395289,0.024545057,0.025110379,0.025411176,0.024041953,0.024746282,0.02524076,0.023885462,0.024783213,0.025591124,0.025381822,0.025210958,0.024405614,0.025317395,0.025369339,0.025116427,0.025295652,0.02420204,0.025142422,0.02522974,0.025159482,0.025409903
28,0.024244444,0.024430525,0.024401447,0.024923353,0.024824815,0.02515754,0.024569254,0.025061311,0.02522729,0.025186798,0.025330411,0.025224427,0.025329385,0.024683127,0.025153283,0.02528117,0.02528797,0.024796002,0.025213907,0.024200432,0.02513688,0.025164265,0.024746927,0.024741946,0.025225066,0.024273029,0.025324458,0.025389826,0.025599193,0.0252781,0.023931889,0.024995124,0.025460225,0.0254587,0.025194094,0.024499396,0.025259648,0.024967829,0.025310138,0.025516443
29,0.024345867,0.025013776,0.023760546,0.024639025,0.025109401,0.025245251,0.024025762,0.025287673,0.025121067,0.025231907,0.02535631,0.025472686,0.025258593,0.025071241,0.024771828,0.025660573,0.024796931,0.024573129,0.024932142,0.024872057,0.024493806,0.02547654,0.024446247,0.024146779,0.024882723,0.02331048,0.025107253,0.025373127,0.025432684,0.025755739,0.02473852,0.024998592,0.025597773,0.025566207,0.025585182,0.025126867,0.025510848,0.025255457,0.025149507,0.025499955
