country,sector,source_region,target_region,bootstrap_frequency,promoted_stable_edge
FR,JZ,8433,9310,0.271356783919598,0
FR,MN,1113,1114,0.2663316582914573,0
FR,KZ,4418,8412,0.2613065326633166,0
FR,FZ,1112,8418,0.2562814070351759,0
FR,JZ,3207,4415,0.24623115577889448,0
FR,BE,8428,9308,0.24623115577889448,0
FR,BE,7505,8417,0.24120603015075376,0
FR,JZ,4415,7622,0.23618090452261306,0
FR,JZ,3207,7507,0.23115577889447236,0
FR,RU,1106,7532,0.22110552763819097,0
FR,FZ,5216,7620,0.21608040201005024,0
FR,JZ,4425,8434,0.21608040201005024,0
FR,LZ,7505,9307,0.21608040201005024,0
FR,MN,2811,3219,0.21105527638190955,0
FR,JZ,5316,5318,0.19597989949748743,0
FR,LZ,3202,5203,0.19597989949748743,0
FR,FZ,4409,7512,0.19095477386934673,0
FR,MN,57,7602,0.18592964824120603,0
FR,OQ,7607,8422,0.18090452261306533,0
FR,GI,9301,9304,0.18090452261306533,0
FR,KZ,1105,7515,0.17587939698492464,0
FR,FZ,2414,5314,0.1708542713567839,0
FR,MN,3220,8423,0.1708542713567839,0
FR,GI,2707,4411,0.1658291457286432,0
FR,BE,2413,7603,0.1658291457286432,0
FR,GI,2410,7524,0.16080402010050251,0
FR,GI,5215,7521,0.16080402010050251,0
FR,OQ,64,7528,0.16080402010050251,0
FR,GI,4416,8424,0.16080402010050251,0
FR,RU,3219,5207,0.1507537688442211,0
FR,GI,2806,7514,0.1507537688442211,0
FR,GI,2413,9304,0.1407035175879397,0
FR,GI,2715,5304,0.135678391959799,0
FR,JZ,2412,2706,0.135678391959799,0
FR,LZ,4402,4413,0.1306532663316583,0
FR,BE,5215,5304,0.1306532663316583,0
FR,JZ,3209,5311,0.12060301507537688,0
FR,OQ,7531,8430,0.12060301507537688,0
FR,LZ,2413,5309,0.12060301507537688,0
FR,OQ,2410,4402,0.11557788944723618,0
FR,OQ,4419,7615,0.11055276381909548,0
FR,FZ,8405,8421,0.11055276381909548,0
FR,RU,7617,8402,0.11055276381909548,0
FR,GI,2403,7606,0.11055276381909548,0
FR,MN,1105,8425,0.10552763819095477,0
FR,LZ,4402,7623,0.10050251256281408,0
FR,LZ,2709,7612,0.10050251256281408,0
FR,LZ,1101,5314,0.10050251256281408,0
FR,KZ,2711,8408,0.10050251256281408,0
FR,KZ,8407,8435,0.09547738693467336,0
FR,FZ,5302,8431,0.09547738693467336,0
FR,KZ,7514,8433,0.09547738693467336,0
FR,KZ,4409,7523,0.09547738693467336,0
FR,OQ,2817,61,0.09045226130653267,0
FR,OQ,3221,8403,0.09045226130653267,0
FR,OQ,2406,4421,0.09045226130653267,0
FR,JZ,1111,5309,0.09045226130653267,0
FR,MN,3216,9312,0.09045226130653267,0
FR,RU,3205,5202,0.09045226130653267,0
FR,FZ,5212,9305,0.09045226130653267,0
FR,MN,7501,9318,0.08542713567839195,0
FR,MN,1114,3211,0.08542713567839195,0
FR,FZ,5218,5304,0.08040201005025126,0
FR,MN,7505,8421,0.08040201005025126,0
FR,MN,7510,8417,0.08040201005025126,0
FR,JZ,3203,7505,0.07537688442211055,0
FR,OQ,7606,8406,0.07537688442211055,0
FR,KZ,1112,9318,0.07537688442211055,0
FR,JZ,5312,56,0.07537688442211055,0
FR,KZ,4401,5202,0.07537688442211055,0
FR,BE,1107,2707,0.07035175879396985,0
FR,GI,2413,7517,0.07035175879396985,0
FR,MN,4411,5202,0.07035175879396985,0
FR,RU,4409,4425,0.07035175879396985,0
FR,OQ,2403,54,0.07035175879396985,0
FR,BE,5304,60,0.07035175879396985,0
FR,JZ,1111,7618,0.07035175879396985,0
FR,GI,2410,7618,0.06532663316582915,0
FR,KZ,5206,5315,0.06532663316582915,0
FR,KZ,4419,58,0.06532663316582915,0
FR,OQ,4424,7614,0.06532663316582915,0
FR,RU,5212,7518,0.06030150753768844,0
FR,GI,5207,7610,0.06030150753768844,0
FR,LZ,2711,5217,0.06030150753768844,0
FR,GI,2815,5202,0.06030150753768844,0
FR,FZ,5221,7617,0.06030150753768844,0
FR,OQ,5204,7510,0.06030150753768844,0
FR,GI,4412,7522,0.06030150753768844,0
FR,OQ,4412,4423,0.06030150753768844,0
FR,MN,5315,8409,0.06030150753768844,0
FR,BE,57,8418,0.06030150753768844,0
FR,MN,5309,7503,0.05527638190954774,0
FR,RU,7532,9318,0.05527638190954774,0
FR,GI,7503,8434,0.05527638190954774,0
FR,RU,1114,4407,0.05527638190954774,0
FR,LZ,2806,5201,0.05527638190954774,0
FR,BE,2410,7512,0.05527638190954774,0
FR,JZ,4425,7618,0.05527638190954774,0
FR,GI,2402,4407,0.05025125628140704,0
FR,OQ,5301,7520,0.05025125628140704,0
FR,BE,5209,61,0.05025125628140704,0
FR,GI,3202,5202,0.05025125628140704,0
FR,MN,7526,8401,0.05025125628140704,0
FR,FZ,2816,8425,0.05025125628140704,0
FR,LZ,4404,5208,0.05025125628140704,0
FR,MN,7517,9309,0.05025125628140704,0
FR,KZ,2816,3210,0.05025125628140704,0
FR,RU,54,9307,0.05025125628140704,0
FR,RU,3218,53,0.04522613065326633,0
FR,GI,3210,7531,0.04522613065326633,0
FR,OQ,7625,8407,0.04522613065326633,0
FR,FZ,2718,2808,0.04522613065326633,0
FR,LZ,2404,8404,0.04522613065326633,0
FR,GI,1104,8428,0.04522613065326633,0
FR,KZ,3213,7624,0.04522613065326633,0
FR,MN,7625,8428,0.04522613065326633,0
FR,GI,4410,9305,0.04522613065326633,0
FR,BE,4413,9316,0.04522613065326633,0
FR,BE,5304,5306,0.04522613065326633,0
FR,KZ,2411,5209,0.04522613065326633,0
FR,MN,2712,3210,0.04020100502512563,0
FR,KZ,7601,7624,0.04020100502512563,0
FR,JZ,4422,8423,0.04020100502512563,0
FR,LZ,2718,3202,0.04020100502512563,0
