ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,growth_1y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
14,2014,13,3983.0,3983.0,5804.0,-0.313749138525155,0,0,0,1,0,0,25793.0
15,2014,14,1242.0,1242.0,1165.0,0.0660944206008583,0,0,0,1,0,0,7941.0
16,2014,15,3041.0,3041.0,2780.0,0.0938848920863309,0,0,0,1,0,0,21811.0
17,2014,16,3339.0,3339.0,5170.0,-0.3541586073500967,0,0,0,1,0,0,22883.0
18,2014,17,51863.0,51863.0,48167.0,0.076733032989391,0,0,0,1,0,0,305175.0
19,2014,18,1736.0,1736.0,1702.0,0.0199764982373678,0,0,0,1,0,0,10928.0
20,2014,19,1970.0,1970.0,2313.0,-0.148292261132728,0,0,0,1,0,0,13598.0
21,2014,20,3448.0,3448.0,3696.0,-0.0670995670995671,0,0,0,1,0,0,22828.0
22,2014,21,1969.0,1969.0,1772.0,0.1111738148984198,0,0,0,1,0,0,10933.0
23,2014,22,2510.0,2510.0,2690.0,-0.0669144981412639,0,0,0,1,0,0,18235.0
24,2014,23,3515.0,3515.0,4168.0,-0.1566698656429942,0,0,0,1,0,0,25080.0
25,2014,24,3623.0,3623.0,6190.0,-0.4147011308562197,0,0,0,1,0,0,23174.0
1,2015,0,3683.0,3683.0,4635.0,-0.2053937432578209,0,0,0,1,0,0,27656.0
2,2015,1,6022.0,6022.0,6110.0,-0.0144026186579378,0,0,0,1,0,0,41906.0
3,2015,2,5362.0,5362.0,5421.0,-0.0108836008116583,0,0,0,1,0,0,37810.0
4,2015,3,27932.0,27932.0,26624.0,0.0491286057692307,0,0,0,1,0,0,182940.0
5,2015,4,1476.0,1476.0,1926.0,-0.2336448598130841,0,0,0,1,0,0,11664.0
6,2015,5,5194.0,5194.0,5513.0,-0.0578632323598766,0,0,0,1,0,0,35739.0
7,2015,6,3312.0,3312.0,5400.0,-0.3866666666666666,0,0,0,1,0,0,29937.0
8,2015,7,2452.0,2452.0,4206.0,-0.4170233000475511,0,0,0,1,0,0,19025.0
9,2015,8,12870.0,12870.0,10655.0,0.2078836227123416,0,0,0,1,0,0,57817.0
10,2015,9,6221.0,6221.0,5671.0,0.0969846587903368,0,0,0,1,0,0,40722.0
11,2015,10,6041.0,6041.0,5768.0,0.0473300970873786,0,0,0,1,0,0,39383.0
12,2015,11,7827.0,7827.0,7844.0,-0.0021672616012238,0,0,0,1,0,0,50515.0
13,2015,12,4874.0,4874.0,4548.0,0.0716798592788038,0,0,0,1,0,0,33625.0
14,2015,13,3701.0,3701.0,3983.0,-0.0708009038413256,0,0,0,1,0,0,26360.0
15,2015,14,1298.0,1298.0,1242.0,0.0450885668276972,0,0,0,1,0,0,8234.0
16,2015,15,3245.0,3245.0,3041.0,0.0670831963170009,0,0,0,1,0,0,22152.0
17,2015,16,2954.0,2954.0,3339.0,-0.1153039832285115,0,0,0,1,0,0,23609.0
18,2015,17,56637.0,56637.0,51863.0,0.0920502092050209,0,0,0,1,0,0,312051.0
19,2015,18,1824.0,1824.0,1736.0,0.0506912442396313,0,0,0,1,0,0,11129.0
20,2015,19,1907.0,1907.0,1970.0,-0.031979695431472,0,0,0,1,0,0,13876.0
21,2015,20,3524.0,3524.0,3448.0,0.0220417633410672,0,0,0,1,0,0,23055.0
22,2015,21,1675.0,1675.0,1969.0,-0.1493143727780599,0,0,0,1,0,0,11587.0
23,2015,22,2592.0,2592.0,2510.0,0.0326693227091633,0,0,0,1,0,0,18455.0
24,2015,23,3653.0,3653.0,3515.0,0.0392603129445234,0,0,0,1,0,0,25349.0
25,2015,24,3893.0,3893.0,3623.0,0.0745238752415125,0,0,0,1,0,0,23662.0
1,2016,0,3419.0,3419.0,3683.0,-0.0716806950855281,0,0,0,1,0,0,28082.0
2,2016,1,6156.0,6156.0,6022.0,0.0222517436067751,0,0,0,1,0,0,43125.0
3,2016,2,5396.0,5396.0,5362.0,0.0063409175680716,0,0,0,1,0,0,38974.0
4,2016,3,28493.0,28493.0,27932.0,0.0200844909064871,0,0,0,1,0,0,187803.0
5,2016,4,1403.0,1403.0,1476.0,-0.0494579945799458,0,0,0,1,0,0,12081.0
6,2016,5,4903.0,4903.0,5194.0,-0.056026184058529,0,0,0,1,0,0,36911.0
7,2016,6,3049.0,3049.0,3312.0,-0.0794082125603864,0,0,0,1,0,0,30264.0
8,2016,7,1977.0,1977.0,2452.0,-0.1937194127243066,0,0,0,1,0,0,19413.0
9,2016,8,11151.0,11151.0,12870.0,-0.1335664335664335,0,0,0,1,0,0,62981.0
10,2016,9,6064.0,6064.0,6221.0,-0.0252371001446712,0,0,0,1,0,0,41933.0
11,2016,10,5952.0,5952.0,6041.0,-0.0147326601556033,0,0,0,1,0,0,40441.0
