ze2020,year,sector_code,sector_share_lag_1,mask_sector_share_lag_1_available,sector_growth_lag_1,mask_sector_growth_lag_1_available,sector_growth_lag_2,mask_sector_growth_lag_2_available,dominant_sector_lag_1,dominant_sector_share_lag_1,sector_diversity_lag_1,sector_concentration_hhi_lag_1,commerce_share_lag_1,construction_share_lag_1,mask_ze_sector_distribution_lag_1_available,national_sector_share_lag_1,mask_national_sector_share_lag_1_available,national_sector_growth_lag_1,mask_national_sector_growth_lag_1_available
7514,2015,BE,0.0992125984251968,1,-0.1,1,0.6867469879518072,1,GI,0.2881889763779527,0.8794625302189816,0.16943269886539764,0.2881889763779527,0.1637795275590551,1,0.056789630978385006,1,0.0054965397431150365,1
7514,2015,FZ,0.1637795275590551,1,0.07772020725388601,1,-0.04455445544554455,1,GI,0.2881889763779527,0.8794625302189816,0.16943269886539764,0.2881889763779527,0.1637795275590551,1,0.12903531939945118,1,-0.00827049078996167,1
7514,2015,GI,0.2881889763779527,1,0.13664596273291926,1,-0.027190332326283987,1,GI,0.2881889763779527,0.8794625302189816,0.16943269886539764,0.2881889763779527,0.1637795275590551,1,0.2838516450109217,1,0.03810767565532491,1
7514,2015,JZ,0.0204724409448818,1,0.18181818181818182,1,0.4666666666666667,1,GI,0.2881889763779527,0.8794625302189816,0.16943269886539764,0.2881889763779527,0.1637795275590551,1,0.0441017986224823,1,-0.0020382907476159673,1
7514,2015,KZ,0.0307086614173228,1,0.7727272727272727,1,-0.2413793103448276,1,GI,0.2881889763779527,0.8794625302189816,0.16943269886539764,0.2881889763779527,0.1637795275590551,1,0.032075058951452316,1,0.059958539307925385,1
7514,2015,LZ,0.0228346456692913,1,-0.06451612903225806,1,-0.06060606060606061,1,GI,0.2881889763779527,0.8794625302189816,0.16943269886539764,0.2881889763779527,0.1637795275590551,1,0.032038063497067705,1,0.0479297101068028,1
7514,2015,MN,0.1401574803149606,1,-0.02197802197802198,1,0.13043478260869565,1,GI,0.2881889763779527,0.8794625302189816,0.16943269886539764,0.2881889763779527,0.1637795275590551,1,0.20144346612020628,1,0.05600573379990714,1
7514,2015,OQ,0.0992125984251968,1,-0.136986301369863,1,0.23728813559322035,1,GI,0.2881889763779527,0.8794625302189816,0.16943269886539764,0.2881889763779527,0.1637795275590551,1,0.11757477103030732,1,0.0482268079675332,1
7514,2015,RU,0.1354330708661417,1,0.10967741935483871,1,-0.11931818181818182,1,GI,0.2881889763779527,0.8794625302189816,0.16943269886539764,0.2881889763779527,0.1637795275590551,1,0.1030902463897262,1,0.019275115698404788,1
7514,2016,BE,0.075821398483572,1,-0.2857142857142857,1,-0.1,1,GI,0.2813816343723673,0.8881810283012447,0.1664671117675406,0.2813816343723673,0.151642796967144,1,0.05335532920691621,1,-0.08026964255367364,1
7514,2016,FZ,0.151642796967144,1,-0.1346153846153846,1,0.07772020725388601,1,GI,0.2813816343723673,0.8881810283012447,0.1664671117675406,0.2813816343723673,0.151642796967144,1,0.11207215259965922,1,-0.14976128445170223,1
7514,2016,GI,0.2813816343723673,1,-0.08743169398907104,1,0.13664596273291926,1,GI,0.2813816343723673,0.8881810283012447,0.1664671117675406,0.2813816343723673,0.151642796967144,1,0.29436624115386323,1,0.01519238397461331,1
7514,2016,JZ,0.0227464195450716,1,0.038461538461538464,1,0.18181818181818182,1,GI,0.2813816343723673,0.8881810283012447,0.1664671117675406,0.2813816343723673,0.151642796967144,1,0.043945192154439955,1,-0.024545918739514172,1
7514,2016,KZ,0.0353833192923336,1,0.07692307692307693,1,0.7727272727272727,1,GI,0.2813816343723673,0.8881810283012447,0.1664671117675406,0.2813816343723673,0.151642796967144,1,0.03443482490112537,1,0.050950303395015384,1
