task,scenario,model,feature_config,groups,recall_undefined_groups,mean_recall_at_3,mean_precision_at_selected,mean_growth_selected,mean_growth_actual_top3
top3,target_shuffle,logit_entry_classifier,no_relation_features,5600,75,0.5049170437405731,0.3339285714285714,0.2634154607895205,0.6037065767513028
top3,target_shuffle,logit_entry_classifier,shuffled_relation_features,5600,75,0.5037858220211161,0.3336904761904762,0.263627825543523,0.6037065767513028
top3,target_shuffle,mlp_entry_classifier,base_formula_features,5600,75,0.4825641025641026,0.3205357142857143,0.2668323957980779,0.6037065767513028
top3,target_shuffle,mlp_entry_classifier,no_relation_features,5600,75,0.5007390648567118,0.33220238095238097,0.2666023492710695,0.6037065767513028
top3,target_shuffle,mlp_entry_classifier,shuffled_relation_features,5600,75,0.4743891402714932,0.31416666666666665,0.2660157554656396,0.6037065767513028
top3,temporal_shuffle,logit_entry_classifier,base_formula_features,5600,336,0.7430661094224924,0.41255952380952376,0.35391650660305685,0.5342215392006724
top3,temporal_shuffle,logit_entry_classifier,no_relation_features,5600,336,0.7415780141843972,0.41214285714285714,0.3538693750800441,0.5342215392006724
top3,temporal_shuffle,logit_entry_classifier,shuffled_relation_features,5600,336,0.7435093718338399,0.41285714285714287,0.3542574921495218,0.5342215392006724
top3,temporal_shuffle,mlp_entry_classifier,base_formula_features,5600,336,0.7562689969604863,0.4175,0.35249397478408284,0.5342215392006724
top3,temporal_shuffle,mlp_entry_classifier,no_relation_features,5600,336,0.7275835866261399,0.40404761904761904,0.3462100078936852,0.5342215392006724
top3,temporal_shuffle,mlp_entry_classifier,shuffled_relation_features,5600,336,0.7510448328267477,0.41511904761904767,0.3494157350912421,0.5342215392006724
