relation_family,decision_year,source_sector,target_sector,source_label,target_label,weight,p_value,n_zones,bh_rejected,sign_stability,r2_stable
precedence_intra,2019,GI,LZ,"Trade, transport, hospitality",Real estate,0.024476,0.68422717,280,False,,
precedence_intra,2019,GI,MN,"Trade, transport, hospitality",Professional and administrative services,-0.003888,0.94850115,280,False,,
precedence_intra,2019,GI,OQ,"Trade, transport, hospitality","Public administration, education, health",0.050819,0.3981099,280,False,,
precedence_intra,2019,GI,RU,"Trade, transport, hospitality",Other services,-0.041123,0.49424218,280,False,,
precedence_intra,2019,JZ,BE,Information and communication,Industry,-0.02746,0.64816958,280,False,,
precedence_intra,2019,JZ,FZ,Information and communication,Construction,0.089794,0.13470644,280,False,,
precedence_intra,2019,JZ,GI,Information and communication,"Trade, transport, hospitality",0.112411,0.06073234,280,False,,
precedence_intra,2019,JZ,KZ,Information and communication,Finance and insurance,0.018905,0.75343138,280,False,,
precedence_intra,2019,JZ,LZ,Information and communication,Real estate,-0.014843,0.80521105,280,False,,
precedence_intra,2019,JZ,MN,Information and communication,Professional and administrative services,-0.109789,0.06705114,280,False,,
precedence_intra,2019,JZ,OQ,Information and communication,"Public administration, education, health",0.055389,0.35697887,280,False,,
precedence_intra,2019,JZ,RU,Information and communication,Other services,0.067633,0.26045502,280,False,,
precedence_intra,2019,KZ,BE,Finance and insurance,Industry,0.043865,0.46587707,280,False,,
precedence_intra,2019,KZ,FZ,Finance and insurance,Construction,-0.051075,0.39573299,280,False,,
precedence_intra,2019,KZ,GI,Finance and insurance,"Trade, transport, hospitality",0.043648,0.46809122,280,False,,
precedence_intra,2019,KZ,JZ,Finance and insurance,Information and communication,0.082435,0.1698677,280,False,,
precedence_intra,2019,KZ,LZ,Finance and insurance,Real estate,0.001542,0.97956476,280,False,,
precedence_intra,2019,KZ,MN,Finance and insurance,Professional and administrative services,-0.191558,0.0012721,280,True,1.0,True
precedence_intra,2019,KZ,OQ,Finance and insurance,"Public administration, education, health",0.024039,0.68957085,280,False,,
precedence_intra,2019,KZ,RU,Finance and insurance,Other services,-0.078107,0.19351041,280,False,,
precedence_intra,2019,LZ,BE,Real estate,Industry,-0.041354,0.49182086,280,False,,
precedence_intra,2019,LZ,FZ,Real estate,Construction,-0.113274,0.05876249,280,False,,
precedence_intra,2019,LZ,GI,Real estate,"Trade, transport, hospitality",-0.063272,0.29254543,280,False,,
precedence_intra,2019,LZ,JZ,Real estate,Information and communication,0.007154,0.90539599,280,False,,
precedence_intra,2019,LZ,KZ,Real estate,Finance and insurance,0.057786,0.33650814,280,False,,
precedence_intra,2019,LZ,MN,Real estate,Professional and administrative services,0.01329,0.8252443,280,False,,
precedence_intra,2019,LZ,OQ,Real estate,"Public administration, education, health",0.029176,0.62779101,280,False,,
precedence_intra,2019,LZ,RU,Real estate,Other services,-0.034978,0.56101002,280,False,,
precedence_intra,2019,MN,BE,Professional and administrative services,Industry,0.032282,0.59161662,280,False,,
precedence_intra,2019,MN,FZ,Professional and administrative services,Construction,0.010746,0.85830919,280,False,,
precedence_intra,2019,MN,GI,Professional and administrative services,"Trade, transport, hospitality",0.149813,0.01214992,280,False,,
precedence_intra,2019,MN,JZ,Professional and administrative services,Information and communication,0.005357,0.92908758,280,False,,
precedence_intra,2019,MN,KZ,Professional and administrative services,Finance and insurance,-0.001231,0.98368585,280,False,,
precedence_intra,2019,MN,LZ,Professional and administrative services,Real estate,0.002067,0.97260801,280,False,,
precedence_intra,2019,MN,OQ,Professional and administrative services,"Public administration, education, health",0.085942,0.15234337,280,False,,
precedence_intra,2019,MN,RU,Professional and administrative services,Other services,-0.018906,0.75342996,280,False,,
precedence_intra,2019,OQ,BE,"Public administration, education, health",Industry,0.026017,0.66550686,280,False,,
precedence_intra,2019,OQ,FZ,"Public administration, education, health",Construction,0.059254,0.32435396,280,False,,
precedence_intra,2019,OQ,GI,"Public administration, education, health","Trade, transport, hospitality",-0.067661,0.26025466,280,False,,
precedence_intra,2019,OQ,JZ,"Public administration, education, health",Information and communication,-0.057636,0.33776602,280,False,,
precedence_intra,2019,OQ,KZ,"Public administration, education, health",Finance and insurance,0.110176,0.06608482,280,False,,
precedence_intra,2019,OQ,LZ,"Public administration, education, health",Real estate,-0.019225,0.7493952,280,False,,
precedence_intra,2019,OQ,MN,"Public administration, education, health",Professional and administrative services,0.050556,0.40056607,280,False,,
precedence_intra,2019,OQ,RU,"Public administration, education, health",Other services,-0.037401,0.53417968,280,False,,
precedence_intra,2019,RU,BE,Other services,Industry,0.039033,0.51647464,280,False,,
precedence_intra,2019,RU,FZ,Other services,Construction,-0.053501,0.37363987,280,False,,
precedence_intra,2019,RU,GI,Other services,"Trade, transport, hospitality",0.006696,0.91141981,280,False,,
precedence_intra,2019,RU,JZ,Other services,Information and communication,-0.087388,0.14552598,280,False,,
precedence_intra,2019,RU,KZ,Other services,Finance and insurance,0.112419,0.06071479,280,False,,
precedence_intra,2019,RU,LZ,Other services,Real estate,0.005878,0.92220098,280,False,,
precedence_intra,2019,RU,MN,Other services,Professional and administrative services,0.047408,0.43058746,280,False,,
precedence_intra,2019,RU,OQ,Other services,"Public administration, education, health",0.005196,0.93120676,280,False,,
precedence_intra,2020,BE,FZ,Industry,Construction,0.061224,0.30848248,280,False,,
precedence_intra,2020,BE,GI,Industry,"Trade, transport, hospitality",0.018674,0.75635728,280,False,,
precedence_intra,2020,BE,JZ,Industry,Information and communication,-0.005845,0.92263917,280,False,,
precedence_intra,2020,BE,KZ,Industry,Finance and insurance,0.04687,0.43584481,280,False,,
precedence_intra,2020,BE,LZ,Industry,Real estate,0.067013,0.26486359,280,False,,
precedence_intra,2020,BE,MN,Industry,Professional and administrative services,0.002218,0.97060182,280,False,,
precedence_intra,2020,BE,OQ,Industry,"Public administration, education, health",-0.077801,0.19526931,280,False,,
precedence_intra,2020,BE,RU,Industry,Other services,-0.037635,0.53162514,280,False,,
precedence_intra,2020,FZ,BE,Construction,Industry,-0.08066,0.17929274,280,False,,
precedence_intra,2020,FZ,GI,Construction,"Trade, transport, hospitality",-0.000249,0.99669633,280,False,,
precedence_intra,2020,FZ,JZ,Construction,Information and communication,-0.055882,0.35270845,280,False,,
precedence_intra,2020,FZ,KZ,Construction,Finance and insurance,0.057227,0.34121796,280,False,,
precedence_intra,2020,FZ,LZ,Construction,Real estate,0.074763,0.2133633,280,False,,
precedence_intra,2020,FZ,MN,Construction,Professional and administrative services,-0.044433,0.46010844,280,False,,
precedence_intra,2020,FZ,OQ,Construction,"Public administration, education, health",0.027025,0.6533782,280,False,,
precedence_intra,2020,FZ,RU,Construction,Other services,0.013668,0.82036114,280,False,,
precedence_intra,2020,GI,BE,"Trade, transport, hospitality",Industry,-0.120689,0.04391975,280,False,,
precedence_intra,2020,GI,FZ,"Trade, transport, hospitality",Construction,0.049872,0.40697696,280,False,,
precedence_intra,2020,GI,JZ,"Trade, transport, hospitality",Information and communication,-0.005662,0.92505906,280,False,,
precedence_intra,2020,GI,KZ,"Trade, transport, hospitality",Finance and insurance,0.069034,0.25067456,280,False,,
precedence_intra,2020,GI,LZ,"Trade, transport, hospitality",Real estate,0.033681,0.57564458,280,False,,
precedence_intra,2020,GI,MN,"Trade, transport, hospitality",Professional and administrative services,0.079947,0.18318128,280,False,,
