ze2020,ze2020_label,sector_code,sector_label,decision_year,sector_count_t,sector_count_t_plus_1,sector_count_t_plus_3,sector_share_t,sector_share_t_plus_1,sector_share_t_plus_3,future_growth_1y,future_growth_3y,future_rank_growth_3y_in_ze_year,future_top3_growth_3y_label,sector_rank_in_ze_year_t,sector_share_lag_1,sector_growth_lag_1,sector_growth_lag_2,dominant_sector_flag_t,dominant_sector_share_lag_1,sector_diversity_lag_1,sector_concentration_hhi_lag_1,commerce_share_lag_1,construction_share_lag_1,national_sector_share_lag_1,national_sector_growth_lag_1,relation_signal_strength_mean_to_t,relation_signal_strength_max_to_t,relation_stability_mean_to_t,relation_count_to_t,mask_sector_share_lag_1_available,mask_sector_growth_lag_1_available,mask_sector_growth_lag_2_available,mask_ze_sector_distribution_lag_1_available,mask_national_sector_share_lag_1_available,mask_national_sector_growth_lag_1_available,mask_future_growth_1y_available,mask_future_growth_3y_available,ranking_feature_complete,claim_status
5207,Fontenay-le-Comte,FZ,Construction,2019,76.0,106.0,112.0,0.0687782805429864,0.0951526032315978,0.0826568265682656,0.39473684210526316,0.47368421052631576,4.0,0,6,0.0687782805429864,0.3103448275862069,-0.3012048192771084,0,0.3257918552036199,0.8693878526602077,0.1823885669826579,0.3257918552036199,0.0687782805429864,0.0920915303827594,0.1676910299003322,0.9729855905645621,0.9999999622904412,0.7520325203252032,41,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,GI,"Trade, transport and hospitality",2019,360.0,361.0,311.0,0.3257918552036199,0.3240574506283663,0.229520295202952,0.002777777777777778,-0.1361111111111111,9.0,0,1,0.3257918552036199,0.0975609756097561,0.0092307692307692,1,0.3257918552036199,0.8693878526602077,0.1823885669826579,0.3257918552036199,0.0687782805429864,0.3135024782200484,0.1019432378087155,0.9756990247211164,0.9999999622904412,0.742063492063492,42,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,JZ,Information and communication,2019,26.0,23.0,43.0,0.0235294117647058,0.0206463195691202,0.0317343173431734,-0.11538461538461539,0.6538461538461539,1.0,1,8,0.0235294117647058,1.8888888888888888,-0.4,0,0.3257918552036199,0.8693878526602077,0.1823885669826579,0.3257918552036199,0.0687782805429864,0.0469551736937487,0.1883841732979663,0.9745333090717914,0.9999999622904412,0.7166666666666667,40,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,KZ,Financial and insurance activities,2019,25.0,21.0,34.0,0.0226244343891402,0.018850987432675,0.0250922509225092,-0.16,0.36,6.0,0,9,0.0226244343891402,0.1363636363636363,-0.0434782608695652,0,0.3257918552036199,0.8693878526602077,0.1823885669826579,0.3257918552036199,0.0687782805429864,0.0305356012140003,0.1455133718311012,0.9732178986065365,0.9999999622904412,0.6951219512195121,41,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,LZ,Real estate activities,2019,57.0,66.0,91.0,0.0515837104072398,0.059245960502693,0.0671586715867158,0.15789473684210525,0.5964912280701754,2.0,1,7,0.0515837104072398,0.425,-0.2156862745098039,0,0.3257918552036199,0.8693878526602077,0.1823885669826579,0.3257918552036199,0.0687782805429864,0.0397093823009236,0.183516090196206,0.9679760411115245,0.9999999622904412,0.6791666666666667,40,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,MN,Professional and administrative services,2019,175.0,182.0,255.0,0.1583710407239819,0.163375224416517,0.1881918819188192,0.04,0.45714285714285713,5.0,0,2,0.1583710407239819,0.2867647058823529,0.1333333333333333,0,0.3257918552036199,0.8693878526602077,0.1823885669826579,0.3257918552036199,0.0687782805429864,0.225699251075351,0.1862494764082467,0.9455706468554763,0.9999999622904412,0.735042735042735,39,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,OQ,"Public administration, education and health",2019,90.0,84.0,96.0,0.0814479638009049,0.0754039497307001,0.0708487084870848,-0.06666666666666667,0.06666666666666667,8.0,0,5,0.0814479638009049,-0.0217391304347826,0.2105263157894736,0,0.3257918552036199,0.8693878526602077,0.1823885669826579,0.3257918552036199,0.0687782805429864,0.1023395707329854,0.0919161327897495,0.9680709767745274,0.9999999622904412,0.7208333333333333,40,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,RU,Arts and other services,2019,137.0,106.0,166.0,0.1239819004524886,0.0951526032315978,0.1225092250922509,-0.22627737226277372,0.2116788321167883,7.0,0,4,0.1239819004524886,0.4270833333333333,0.2972972972972973,0,0.3257918552036199,0.8693878526602077,0.1823885669826579,0.3257918552036199,0.0687782805429864,0.0979999563309242,0.1838887936378144,0.9697559478123129,0.9999999622904412,0.7142857142857143,42,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,BE,Industry and energy,2020,165.0,191.0,264.0,0.1481149012567325,0.1413767579570688,0.1948339483394834,0.15757575757575756,0.6,3.0,1,3,0.1481149012567325,0.0377358490566037,0.3826086956521739,0,0.3240574506283663,0.868813627845295,0.1817282247485084,0.3240574506283663,0.0951526032315978,0.0524759606005869,0.0618118972433217,0.9165114335311313,0.9999999622904412,0.6626016260162602,41,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,FZ,Construction,2020,106.0,109.0,109.0,0.0951526032315978,0.080680977054034,0.0804428044280442,0.02830188679245283,0.02830188679245283,8.0,0,4,0.0951526032315978,0.3947368421052631,0.3103448275862069,0,0.3240574506283663,0.868813627845295,0.1817282247485084,0.3240574506283663,0.0951526032315978,0.0896820651686791,0.0082390876544087,0.9480755080981835,0.9999999622904412,0.6933333333333332,50,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
