ze2020,ze2020_label,year,sector_code,sector_label,sector_establishment_creations,total_establishment_creations,sector_share,sector_rank_in_ze_year,mask_sector_available
0052,Arles,2012,KZ,Financial and insurance activities,27.0,1832,0.014737991266375546,9,1
0052,Arles,2012,LZ,Real estate activities,55.0,1832,0.030021834061135372,7,1
0052,Arles,2012,MN,Professional and administrative services,273.0,1832,0.1490174672489083,3,1
0052,Arles,2012,OQ,"Public administration, education and health",128.0,1832,0.06986899563318777,6,1
0052,Arles,2012,RU,Arts and other services,210.0,1832,0.1146288209606987,5,1
0052,Arles,2013,BE,Industry and energy,150.0,1649,0.09096422073984232,5,1
0052,Arles,2013,FZ,Construction,209.0,1649,0.12674348089751364,3,1
0052,Arles,2013,GI,"Trade, transport and hospitality",570.0,1649,0.34566403881140084,1,1
0052,Arles,2013,JZ,Information and communication,33.0,1649,0.02001212856276531,9,1
0052,Arles,2013,KZ,Financial and insurance activities,40.0,1649,0.02425712553062462,7,1
0052,Arles,2013,LZ,Real estate activities,40.0,1649,0.02425712553062462,7,1
0052,Arles,2013,MN,Professional and administrative services,284.0,1649,0.1722255912674348,2,1
0052,Arles,2013,OQ,"Public administration, education and health",127.0,1649,0.07701637355973318,6,1
0052,Arles,2013,RU,Arts and other services,196.0,1649,0.11885991510006064,4,1
0052,Arles,2014,BE,Industry and energy,133.0,1552,0.0856958762886598,5,1
0052,Arles,2014,FZ,Construction,258.0,1552,0.16623711340206185,2,1
0052,Arles,2014,GI,"Trade, transport and hospitality",517.0,1552,0.3331185567010309,1,1
0052,Arles,2014,JZ,Information and communication,32.0,1552,0.020618556701030927,9,1
0052,Arles,2014,KZ,Financial and insurance activities,39.0,1552,0.025128865979381444,8,1
0052,Arles,2014,LZ,Real estate activities,40.0,1552,0.02577319587628866,7,1
0052,Arles,2014,MN,Professional and administrative services,230.0,1552,0.1481958762886598,3,1
0052,Arles,2014,OQ,"Public administration, education and health",129.0,1552,0.08311855670103092,6,1
0052,Arles,2014,RU,Arts and other services,174.0,1552,0.11211340206185567,4,1
0052,Arles,2015,BE,Industry and energy,111.0,1547,0.07175177763413057,6,1
0052,Arles,2015,FZ,Construction,180.0,1547,0.11635423400129283,3,1
0052,Arles,2015,GI,"Trade, transport and hospitality",500.0,1547,0.32320620555914675,1,1
0052,Arles,2015,JZ,Information and communication,42.0,1547,0.027149321266968326,8,1
0052,Arles,2015,KZ,Financial and insurance activities,50.0,1547,0.03232062055591468,7,1
0052,Arles,2015,LZ,Real estate activities,41.0,1547,0.026502908855850032,9,1
0052,Arles,2015,MN,Professional and administrative services,278.0,1547,0.17970265029088558,2,1
0052,Arles,2015,OQ,"Public administration, education and health",170.0,1547,0.10989010989010989,5,1
0052,Arles,2015,RU,Arts and other services,175.0,1547,0.11312217194570136,4,1
0052,Arles,2016,BE,Industry and energy,119.0,1660,0.07168674698795181,6,1
0052,Arles,2016,FZ,Construction,222.0,1660,0.13373493975903614,3,1
0052,Arles,2016,GI,"Trade, transport and hospitality",578.0,1660,0.3481927710843373,1,1
0052,Arles,2016,JZ,Information and communication,18.0,1660,0.010843373493975903,9,1
0052,Arles,2016,KZ,Financial and insurance activities,47.0,1660,0.028313253012048192,7,1
0052,Arles,2016,LZ,Real estate activities,44.0,1660,0.02650602409638554,8,1
0052,Arles,2016,MN,Professional and administrative services,275.0,1660,0.16566265060240964,2,1
0052,Arles,2016,OQ,"Public administration, education and health",185.0,1660,0.11144578313253012,4,1
0052,Arles,2016,RU,Arts and other services,172.0,1660,0.10361445783132531,5,1
0052,Arles,2017,BE,Industry and energy,120.0,1677,0.07155635062611806,6,1
