ze2020,ze2020_label,year,observed_value,target_variable,lag_1,lag_2,lag_3,growth_1y_safe,growth_2y_safe,mask_observed_available,mask_lag_1_available,mask_lag_2_available,mask_lag_3_available,node_id,similar_ze_lag_1_mean,similar_ze_lag_1_weighted_mean,similar_ze_growth_1y_safe_mean,similar_ze_count,relational_feature_available,dominant_sector_lag_1,dominant_sector_share_lag_1,sector_diversity_lag_1,sector_concentration_hhi_lag_1,commerce_share_lag_1,construction_share_lag_1,mask_ze_sector_distribution_lag_1_available,top_sector_signal_lag_1
5308,Lannion,2021,1213.0,establishment_creations,1059.0,1057.0,1045.0,0.0018921475875118,0.0133971291866028,1,1,1,1,158,1466.0,1441.864865461424,0.0544770575668187,5,1,GI,0.3220018885741265,0.8753923553373664,0.1828448275093379,0.3220018885741265,0.0897072710103871,1,0.0689655172413793
5308,Lannion,2022,1371.0,establishment_creations,1213.0,1059.0,1057.0,0.1454202077431539,0.1475875118259224,1,1,1,1,158,2040.4,2036.342429056041,0.1936051951799164,5,1,GI,0.2753503709810387,0.9143807300045134,0.1586651614924603,0.2753503709810387,0.0964550700741962,1,-0.0205278592375366
5308,Lannion,2023,1348.0,establishment_creations,1371.0,1213.0,1059.0,0.1302555647155812,0.2946175637393767,1,1,1,1,158,2067.6,2065.606411886484,0.0169711277237113,5,1,GI,0.2268417213712618,0.9200497197120464,0.1513049566379962,0.2268417213712618,0.0765864332603938,1,-0.0688622754491018
5308,Lannion,2024,1523.0,establishment_creations,1348.0,1371.0,1213.0,-0.0167760758570386,0.1112943116240725,1,1,1,1,158,1173.2,1188.3379932146795,0.0343088533931236,5,1,GI,0.2032640949554896,0.9367241862676456,0.1418014599054319,0.2032640949554896,0.0719584569732937,1,-0.1189710610932476
5309,Lorient,2012,1695.0,establishment_creations,,,,,,1,0,0,0,159,,,,0,0,,,,,,,0,
5309,Lorient,2013,1614.0,establishment_creations,1695.0,,,,,1,1,0,0,159,,,,0,0,GI,0.2353982300884955,0.9059758735975936,0.1544501005038242,0.2353982300884955,0.1533923303834808,1,
5309,Lorient,2014,1675.0,establishment_creations,1614.0,1695.0,,-0.047787610619469,,1,1,1,0,159,,,,0,0,GI,0.2323420074349442,0.9171106151366706,0.1503096357921469,0.2323420074349442,0.1468401486988847,1,-0.0601503759398496
5309,Lorient,2015,1655.0,establishment_creations,1675.0,1614.0,1695.0,0.0377942998760842,-0.0117994100294985,1,1,1,1,159,,,,0,0,GI,0.2704477611940298,0.9040917923128262,0.1600324348407216,0.2704477611940298,0.1450746268656716,1,0.208
5309,Lorient,2016,1691.0,establishment_creations,1655.0,1675.0,1614.0,-0.0119402985074626,0.0254027261462205,1,1,1,1,159,,,,0,0,GI,0.2688821752265861,0.8997119771414542,0.1612862241125947,0.2688821752265861,0.1287009063444108,1,-0.0176600441501103
5309,Lorient,2017,1770.0,establishment_creations,1691.0,1655.0,1675.0,0.0217522658610271,0.0095522388059701,1,1,1,1,159,1524.4,1524.3966715876954,0.0179647821894299,5,1,GI,0.2696629213483146,0.8996385904823914,0.1615926106870442,0.2696629213483146,0.1153163808397398,1,0.0247191011235955
